poly
0 7 7
E Field
Carrier Density
Temperature
Monte Carlo Velocity
Model Velocity
Monte Carlo Mobility
Model Mobility
10000 1e+14 300 1.01774e+07 1.01363e+07 1017.74 1013.63 
20000 1e+14 300 1.43929e+07 1.44644e+07 719.647 723.22 
30000 1e+14 300 1.66799e+07 1.66827e+07 555.995 556.089 
40000 1e+14 300 1.833e+07 1.82462e+07 458.249 456.155 
50000 1e+14 300 1.9643e+07 1.95932e+07 392.861 391.863 
60000 1e+14 300 2.07417e+07 2.08019e+07 345.696 346.699 
70000 1e+14 300 2.18127e+07 2.18897e+07 311.61 312.71 
80000 1e+14 300 2.28423e+07 2.29053e+07 285.529 286.317 
90000 1e+14 300 2.39887e+07 2.3922e+07 266.541 265.799 
100000 1e+14 300 2.50392e+07 2.49966e+07 250.392 249.966 
110000 1e+14 300 2.61867e+07 2.61356e+07 238.061 237.596 
120000 1e+14 300 2.73195e+07 2.72829e+07 227.662 227.357 
130000 1e+14 300 2.84154e+07 2.83327e+07 218.58 217.944 
140000 1e+14 300 2.92208e+07 2.91604e+07 208.72 208.288 
150000 1e+14 300 2.96988e+07 2.96592e+07 197.992 197.728 
160000 1e+14 300 2.96811e+07 2.97728e+07 185.507 186.08 
170000 1e+14 300 2.94093e+07 2.95126e+07 172.996 173.603 
180000 1e+14 300 2.89131e+07 2.89555e+07 160.628 160.864 
190000 1e+14 300 2.82498e+07 2.82237e+07 148.683 148.546 
200000 1e+14 300 2.75595e+07 2.74495e+07 137.797 137.247 
220000 1e+14 300 2.61803e+07 2.61375e+07 119.001 118.807 
240000 1e+14 300 2.50632e+07 2.51638e+07 104.43 104.849 
260000 1e+14 300 2.42723e+07 2.41817e+07 93.3549 93.0067 
280000 1e+14 300 2.35825e+07 2.3644e+07 84.2232 84.4428 
300000 1e+14 300 2.30604e+07 2.30297e+07 76.868 76.7657 
