cathode current vs anode bias
163 2 2
anode bias
cathode current
0 3.15496e-07
0.05 3.15396e-07
0.1 3.15294e-07
0.15 3.15192e-07
0.2 3.15087e-07
0.25 3.14982e-07
0.3 3.14874e-07
0.35 3.14766e-07
0.4 3.14656e-07
0.45 3.14544e-07
0.5 3.1443e-07
0.55 3.14315e-07
0.6 3.14199e-07
0.65 3.14081e-07
0.7 3.13961e-07
0.75 3.1384e-07
0.8 3.13716e-07
0.85 3.13591e-07
0.9 3.13465e-07
0.95 3.13336e-07
1 3.13206e-07
1.05 3.13074e-07
1.1 3.12941e-07
1.15 3.12805e-07
1.2 3.12667e-07
1.25 3.12528e-07
1.3 3.12387e-07
1.35 3.12243e-07
1.4 3.12098e-07
1.45 3.11951e-07
1.5 3.11801e-07
1.55 3.1165e-07
1.6 3.11496e-07
1.65 3.1134e-07
1.7 3.11182e-07
1.75 3.11022e-07
1.8 3.1086e-07
1.85 3.10695e-07
1.9 3.10528e-07
1.95 3.10359e-07
2 3.10187e-07
2.05 3.10013e-07
2.1 3.09836e-07
2.15 3.09657e-07
2.2 3.09475e-07
2.25 3.09291e-07
2.3 3.09104e-07
2.35 3.08914e-07
2.4 3.08721e-07
2.45 3.08526e-07
2.5 3.08327e-07
2.55 3.08126e-07
2.6 3.07921e-07
2.65 3.07714e-07
2.7 3.07503e-07
2.75 3.07288e-07
2.8 3.07071e-07
2.85 3.06849e-07
2.9 3.06624e-07
2.95 3.06396e-07
3 3.06163e-07
3.05 3.05926e-07
3.1 3.05686e-07
3.15 3.0544e-07
3.2 3.05191e-07
3.25 3.04936e-07
3.3 3.04677e-07
3.35 3.04413e-07
3.4 3.04143e-07
3.45 3.03867e-07
3.5 3.03586e-07
3.55 3.03298e-07
3.6 3.03004e-07
3.65 3.02702e-07
3.7 3.02393e-07
3.75 3.02077e-07
3.8 3.01751e-07
3.85 3.01417e-07
3.9 3.01074e-07
3.95 3.00719e-07
4 3.00354e-07
4.05 2.99977e-07
4.1 2.99587e-07
4.15 2.99182e-07
4.2 2.98762e-07
4.25 2.98325e-07
4.3 2.9787e-07
4.35 2.97394e-07
4.4 2.96895e-07
4.45 2.96372e-07
4.5 2.95821e-07
4.55 2.95239e-07
4.6 2.94623e-07
4.65 2.93967e-07
4.7 2.93269e-07
4.75 2.92521e-07
4.8 2.91719e-07
4.85 2.90854e-07
4.9 2.8992e-07
4.95 2.88909e-07
5 2.8781e-07
5.05 2.86615e-07
5.1 2.85311e-07
5.15 2.83888e-07
5.2 2.82332e-07
5.25 2.80628e-07
5.3 2.78763e-07
5.35 2.76718e-07
5.4 2.74475e-07
5.45 2.72015e-07
5.5 2.69315e-07
5.55 2.66353e-07
5.6 2.63102e-07
5.65 2.59535e-07
5.7 2.55622e-07
5.75 2.51331e-07
5.8 2.46628e-07
5.85 2.41475e-07
5.9 2.35835e-07
5.95 2.29665e-07
6 2.22921e-07
6.05 2.15558e-07
6.1 2.07528e-07
6.15 1.9878e-07
6.2 1.89264e-07
6.25 1.78927e-07
6.3 1.67715e-07
6.35 1.55574e-07
6.4 1.42451e-07
6.45 1.28291e-07
6.5 1.13041e-07
6.55 9.66503e-08
6.6 7.90688e-08
6.65 6.0249e-08
6.7 4.0146e-08
6.75 1.87182e-08
6.8 -4.07312e-09
6.85 -2.82628e-08
6.9 -5.38821e-08
6.95 -8.09585e-08
7 -1.09516e-07
7.05 -1.39573e-07
7.1 -1.71147e-07
7.15 -2.04251e-07
7.2 -2.38892e-07
7.25 -2.75079e-07
7.3 -3.12813e-07
7.35 -3.52095e-07
7.4 -3.92924e-07
7.45 -4.35296e-07
7.5 -4.79207e-07
7.55 -5.24649e-07
7.6 -5.71616e-07
7.65 -6.20099e-07
7.7 -6.70091e-07
7.75 -7.21583e-07
7.8 -7.74567e-07
7.85 -8.29035e-07
7.9 -8.84979e-07
7.95 -9.42391e-07
8 -1.00126e-06
8.05 -1.06159e-06
8.1 -1.12335e-06
