cathode current vs anode bias
37 2 2
anode bias
cathode current
0 2.09838e-06
0.05 2.09057e-06
0.1 2.08189e-06
0.15 2.07216e-06
0.2 2.06115e-06
0.25 2.04847e-06
0.3 2.03349e-06
0.35 2.01534e-06
0.4 1.9931e-06
0.45 1.96605e-06
0.5 1.93384e-06
0.55 1.89644e-06
0.6 1.85403e-06
0.65 1.8069e-06
0.7 1.75533e-06
0.75 1.69953e-06
0.8 1.63962e-06
0.85 1.57562e-06
0.9 1.5074e-06
0.95 1.43467e-06
1 1.35709e-06
1.05 1.27423e-06
1.1 1.18555e-06
1.15 1.09023e-06
1.2 9.87024e-07
1.25 8.74133e-07
1.3 7.48988e-07
1.35 6.08018e-07
1.4 4.46323e-07
1.45 2.57351e-07
1.5 3.28563e-08
1.55 -2.36326e-07
1.6 -5.58199e-07
1.65 -9.36114e-07
1.7 -1.36411e-06
1.75 -1.82853e-06
1.8 -2.32568e-06
