cathode current vs anode bias
55 2 2
anode bias
cathode current
0 1.3536e-06
0.05 1.35167e-06
0.1 1.34967e-06
0.15 1.34759e-06
0.2 1.34542e-06
0.25 1.34317e-06
0.3 1.34082e-06
0.35 1.33837e-06
0.4 1.33581e-06
0.45 1.33313e-06
0.5 1.33032e-06
0.55 1.32736e-06
0.6 1.32423e-06
0.65 1.32089e-06
0.7 1.31732e-06
0.75 1.31346e-06
0.8 1.30924e-06
0.85 1.30458e-06
0.9 1.29937e-06
0.95 1.29344e-06
1 1.2866e-06
1.05 1.27856e-06
1.1 1.26901e-06
1.15 1.25758e-06
1.2 1.24389e-06
1.25 1.22757e-06
1.3 1.20833e-06
1.35 1.1859e-06
1.4 1.16011e-06
1.45 1.13083e-06
1.5 1.09799e-06
1.55 1.06153e-06
1.6 1.02142e-06
1.65 9.77564e-07
1.7 9.2986e-07
1.75 8.78131e-07
1.8 8.22141e-07
1.85 7.61572e-07
1.9 6.9602e-07
1.95 6.24983e-07
2 5.47856e-07
2.05 4.63919e-07
2.1 3.72337e-07
2.15 2.72156e-07
2.2 1.62322e-07
2.25 4.17051e-08
2.3 -9.08486e-08
2.35 -2.36445e-07
2.4 -3.96055e-07
2.45 -5.70425e-07
2.5 -7.5998e-07
2.55 -9.64739e-07
2.6 -1.18425e-06
2.65 -1.41763e-06
2.7 -1.66395e-06
