cathode current vs anode bias
91 2 2
anode bias
cathode current
0 7.33804e-07
0.05 7.33311e-07
0.1 7.32807e-07
0.15 7.32291e-07
0.2 7.31765e-07
0.25 7.31226e-07
0.3 7.30676e-07
0.35 7.30113e-07
0.4 7.29537e-07
0.45 7.28948e-07
0.5 7.28345e-07
0.55 7.27727e-07
0.6 7.27095e-07
0.65 7.26448e-07
0.7 7.25785e-07
0.75 7.25105e-07
0.8 7.24407e-07
0.85 7.23692e-07
0.9 7.22958e-07
0.95 7.22204e-07
1 7.2143e-07
1.05 7.20634e-07
1.1 7.19816e-07
1.15 7.18975e-07
1.2 7.18109e-07
1.25 7.17218e-07
1.3 7.16301e-07
1.35 7.15356e-07
1.4 7.14382e-07
1.45 7.13378e-07
1.5 7.12341e-07
1.55 7.1127e-07
1.6 7.10162e-07
1.65 7.09014e-07
1.7 7.07823e-07
1.75 7.06586e-07
1.8 7.05295e-07
1.85 7.03947e-07
1.9 7.02532e-07
1.95 7.01042e-07
2 6.99465e-07
2.05 6.97786e-07
2.1 6.95989e-07
2.15 6.94052e-07
2.2 6.91948e-07
2.25 6.89647e-07
2.3 6.8711e-07
2.35 6.84291e-07
2.4 6.81137e-07
2.45 6.77583e-07
2.5 6.73555e-07
2.55 6.68964e-07
2.6 6.63711e-07
2.65 6.57682e-07
2.7 6.50749e-07
2.75 6.42774e-07
2.8 6.33603e-07
2.85 6.23078e-07
2.9 6.1103e-07
2.95 5.97289e-07
3 5.81684e-07
3.05 5.64047e-07
3.1 5.44219e-07
3.15 5.22045e-07
3.2 4.97382e-07
3.25 4.70097e-07
3.3 4.40062e-07
3.35 4.0716e-07
3.4 3.71272e-07
3.45 3.32285e-07
3.5 2.9008e-07
3.55 2.44535e-07
3.6 1.95522e-07
3.65 1.42903e-07
3.7 8.65344e-08
3.75 2.62648e-08
3.8 -3.80634e-08
3.85 -1.06611e-07
3.9 -1.79538e-07
3.95 -2.57002e-07
4 -3.39153e-07
4.05 -4.26132e-07
4.1 -5.18062e-07
4.15 -6.15053e-07
4.2 -7.17197e-07
4.25 -8.24568e-07
4.3 -9.37219e-07
4.35 -1.05518e-06
4.4 -1.17847e-06
4.45 -1.30705e-06
4.5 -1.44088e-06
