cathode current vs anode bias
109 2 2
anode bias
cathode current
0 5.77242e-07
0.05 5.76935e-07
0.1 5.76621e-07
0.15 5.76302e-07
0.2 5.75977e-07
0.25 5.75646e-07
0.3 5.75309e-07
0.35 5.74965e-07
0.4 5.74615e-07
0.45 5.74258e-07
0.5 5.73894e-07
0.55 5.73523e-07
0.6 5.73146e-07
0.65 5.7276e-07
0.7 5.72367e-07
0.75 5.71966e-07
0.8 5.71557e-07
0.85 5.71139e-07
0.9 5.70713e-07
0.95 5.70278e-07
1 5.69833e-07
1.05 5.69379e-07
1.1 5.68915e-07
1.15 5.68441e-07
1.2 5.67955e-07
1.25 5.67459e-07
1.3 5.66952e-07
1.35 5.66433e-07
1.4 5.65902e-07
1.45 5.65359e-07
1.5 5.64803e-07
1.55 5.64233e-07
1.6 5.6365e-07
1.65 5.63053e-07
1.7 5.62442e-07
1.75 5.61815e-07
1.8 5.61172e-07
1.85 5.60514e-07
1.9 5.59837e-07
1.95 5.59143e-07
2 5.5843e-07
2.05 5.57697e-07
2.1 5.56942e-07
2.15 5.56163e-07
2.2 5.5536e-07
2.25 5.5453e-07
2.3 5.53669e-07
2.35 5.52776e-07
2.4 5.51846e-07
2.45 5.50875e-07
2.5 5.49859e-07
2.55 5.4879e-07
2.6 5.47662e-07
2.65 5.46467e-07
2.7 5.45195e-07
2.75 5.43833e-07
2.8 5.42369e-07
2.85 5.40787e-07
2.9 5.39068e-07
2.95 5.3719e-07
3 5.35128e-07
3.05 5.32853e-07
3.1 5.30331e-07
3.15 5.27522e-07
3.2 5.24379e-07
3.25 5.2085e-07
3.3 5.16873e-07
3.35 5.1238e-07
3.4 5.07292e-07
3.45 5.01525e-07
3.5 4.94985e-07
3.55 4.87568e-07
3.6 4.79167e-07
3.65 4.69664e-07
3.7 4.58937e-07
3.75 4.4686e-07
3.8 4.33303e-07
3.85 4.18136e-07
3.9 4.0123e-07
3.95 3.8246e-07
4 3.61702e-07
4.05 3.38843e-07
4.1 3.13773e-07
4.15 2.86393e-07
4.2 2.56611e-07
4.25 2.24342e-07
4.3 1.89512e-07
4.35 1.52049e-07
4.4 1.11892e-07
4.45 6.89836e-08
4.5 2.327e-08
4.55 -2.52967e-08
4.6 -7.6761e-08
4.65 -1.31164e-07
4.7 -1.88542e-07
4.75 -2.4893e-07
4.8 -3.12356e-07
4.85 -3.78846e-07
4.9 -4.48421e-07
4.95 -5.21098e-07
5 -5.96892e-07
5.05 -6.75811e-07
5.1 -7.57863e-07
5.15 -8.43052e-07
5.2 -9.31384e-07
5.25 -1.02286e-06
5.3 -1.11747e-06
5.35 -1.21522e-06
5.4 -1.31609e-06
