cathode current vs anode bias
73 2 2
anode bias
cathode current
0 9.67493e-07
0.05 9.66609e-07
0.1 9.657e-07
0.15 9.64766e-07
0.2 9.63806e-07
0.25 9.62818e-07
0.3 9.61802e-07
0.35 9.60756e-07
0.4 9.59679e-07
0.45 9.5857e-07
0.5 9.57428e-07
0.55 9.5625e-07
0.6 9.55035e-07
0.65 9.5378e-07
0.7 9.52484e-07
0.75 9.51144e-07
0.8 9.49757e-07
0.85 9.48321e-07
0.9 9.46831e-07
0.95 9.45284e-07
1 9.43676e-07
1.05 9.42001e-07
1.1 9.40254e-07
1.15 9.38427e-07
1.2 9.36511e-07
1.25 9.34495e-07
1.3 9.32364e-07
1.35 9.30099e-07
1.4 9.27677e-07
1.45 9.25066e-07
1.5 9.22227e-07
1.55 9.1911e-07
1.6 9.1565e-07
1.65 9.11765e-07
1.7 9.07356e-07
1.75 9.02301e-07
1.8 8.96457e-07
1.85 8.89657e-07
1.9 8.81714e-07
1.95 8.72422e-07
2 8.6156e-07
2.05 8.489e-07
2.1 8.34213e-07
2.15 8.17281e-07
2.2 7.97897e-07
2.25 7.75878e-07
2.3 7.51059e-07
2.35 7.23297e-07
2.4 6.92464e-07
2.45 6.5844e-07
2.5 6.21108e-07
2.55 5.80341e-07
2.6 5.36001e-07
2.65 4.87928e-07
2.7 4.35937e-07
2.75 3.7981e-07
2.8 3.19303e-07
2.85 2.54134e-07
2.9 1.83992e-07
2.95 1.08539e-07
3 2.74132e-08
3.05 -5.9759e-08
3.1 -1.53354e-07
3.15 -2.53738e-07
3.2 -3.61252e-07
3.25 -4.762e-07
3.3 -5.98835e-07
3.35 -7.29355e-07
3.4 -8.67892e-07
3.45 -1.01451e-06
3.5 -1.16919e-06
3.55 -1.33184e-06
3.6 -1.50228e-06
