gate-drain capacitance vs gate bias
41 2 2
gate bias
gate-drain capacitance
0 0.560485
0.5 0.560707
1 0.561285
1.5 0.56275
2 0.565439
2.5 0.568948
3 0.590976
3.5 0.674706
4 1.01407
4.5 1.82378
5 2.72305
5.5 2.93621
6 2.99566
6.5 3.01749
7 3.02738
7.5 3.03461
8 3.04208
8.5 3.04884
9 3.0544
9.5 3.05902
10 3.063
10.5 3.06656
11 3.06986
11.5 3.07298
12 3.07593
12.5 3.07864
13 3.08106
13.5 3.08319
14 3.08505
14.5 3.08667
15 3.08809
15.5 3.08934
16 3.09044
16.5 3.09141
17 3.09228
17.5 3.09306
18 3.09376
18.5 3.09439
19 3.09497
19.5 3.09549
20 3.09597
