drain current vs drain bias
21 2 2
drain bias
drain current
0 3.19675e-18
0.5 3.73251e-07
1 7.05164e-07
1.5 9.95632e-07
2 1.24456e-06
2.5 1.45178e-06
3 1.61702e-06
3.5 1.74035e-06
4 1.82637e-06
4.5 1.88603e-06
5 1.92833e-06
5.5 1.95842e-06
6 1.97938e-06
6.5 1.99313e-06
7 2.00123e-06
7.5 2.00557e-06
8 2.00809e-06
8.5 2.00977e-06
9 2.01101e-06
9.5 2.01199e-06
10 2.01279e-06
