drain current vs drain bias
21 2 2
drain bias
drain current
0 -3.64336e-19
0.5 2.18963e-07
1 4.01946e-07
1.5 5.48754e-07
2 6.57594e-07
2.5 7.27486e-07
3 7.70871e-07
3.5 7.99813e-07
4 8.19335e-07
4.5 8.31769e-07
5 8.38529e-07
5.5 8.41502e-07
6 8.42915e-07
6.5 8.43776e-07
7 8.44382e-07
7.5 8.44843e-07
8 8.45213e-07
8.5 8.45521e-07
9 8.45782e-07
9.5 8.46009e-07
10 8.46209e-07
