gate-drain capacitance vs gate bias
42 2 2
gate bias
gate-drain capacitance
0 0.560311
0.25 0.560312
0.5 0.560313
1 0.560318
1.5 0.560333
2 0.560376
2.5 0.560488
3 0.560776
3.5 0.56154
4 0.564217
4.5 0.570224
5 0.580392
5.5 0.595906
6 0.616193
6.5 0.64382
7 0.68346
7.5 0.735977
8 0.793801
8.5 0.849749
9 0.903385
9.5 0.957382
10 1.01433
10.5 1.07574
11 1.14185
11.5 1.21189
12 1.28452
12.5 1.35836
13 1.43231
13.5 1.50552
14 1.57738
14.5 1.64743
15 1.71532
15.5 1.78078
16 1.84363
16.5 1.90376
17 1.96111
17.5 2.01568
18 2.06747
18.5 2.11656
19 2.16302
19.5 2.20693
20 2.24842
