drain current vs drain bias
21 2 2
drain bias
drain current
0 -2.58946e-19
0.5 1.67893e-10
1 1.77107e-10
1.5 1.78415e-10
2 1.78968e-10
2.5 1.79312e-10
3 1.79562e-10
3.5 1.79757e-10
4 1.79918e-10
4.5 1.80054e-10
5 1.80173e-10
5.5 1.80277e-10
6 1.80371e-10
6.5 1.80456e-10
7 1.80533e-10
7.5 1.80605e-10
8 1.80671e-10
8.5 1.80732e-10
9 1.8079e-10
9.5 1.80844e-10
10 1.80895e-10
