drain current vs drain bias
21 2 2
drain bias
drain current
0 1.34304e-18
0.5 2.31418e-08
1 3.28825e-08
1.5 3.55841e-08
2 3.63301e-08
2.5 3.6586e-08
3 3.66944e-08
3.5 3.67557e-08
4 3.67975e-08
4.5 3.6829e-08
5 3.68542e-08
5.5 3.68753e-08
6 3.68934e-08
6.5 3.69092e-08
7 3.69232e-08
7.5 3.69358e-08
8 3.69472e-08
8.5 3.69576e-08
9 3.69673e-08
9.5 3.69762e-08
10 3.69845e-08
