drain current vs gate bias
89 2 2
gate bias
drain current
20 7.62014e-07
19.75 7.4789e-07
19.5 7.33777e-07
19.25 7.19676e-07
19 7.05588e-07
18.75 6.91513e-07
18.5 6.77451e-07
18.25 6.63404e-07
18 6.49371e-07
17.75 6.35355e-07
17.5 6.21355e-07
17.25 6.07372e-07
17 5.93407e-07
16.75 5.79462e-07
16.5 5.65537e-07
16.25 5.51633e-07
16 5.37751e-07
15.75 5.23893e-07
15.5 5.1006e-07
15.25 4.96253e-07
15 4.82473e-07
14.75 4.68722e-07
14.5 4.55002e-07
14.25 4.41315e-07
14 4.27662e-07
13.75 4.14045e-07
13.5 4.00467e-07
13.25 3.86929e-07
13 3.73434e-07
12.75 3.59986e-07
12.5 3.46585e-07
12.25 3.33236e-07
12 3.19942e-07
11.75 3.06706e-07
11.5 2.93531e-07
11.25 2.80422e-07
11 2.67384e-07
10.75 2.5442e-07
10.5 2.41536e-07
10.25 2.28737e-07
10 2.1603e-07
9.75 2.0342e-07
9.5 1.90916e-07
9.25 1.78526e-07
9 1.66258e-07
8.75 1.54122e-07
8.5 1.42131e-07
8.25 1.30298e-07
8 1.18637e-07
7.75 1.07166e-07
7.5 9.59065e-08
7.25 8.48828e-08
7 7.41252e-08
6.75 6.36711e-08
6.5 5.35677e-08
6.25 4.38765e-08
6 3.46798e-08
5.75 2.60902e-08
5.5 1.82663e-08
5.25 1.14369e-08
5 5.93725e-09
4.75 2.21547e-09
4.5 4.99125e-10
4.25 6.93345e-11
4 7.10093e-12
3.75 5.82752e-13
3.5 3.82742e-14
3.25 1.97577e-15
3 1.24552e-16
2.75 4.03624e-17
2.5 1.79604e-17
2.25 -1.79064e-17
2 7.49128e-17
1.75 1.70965e-17
1.5 1.05763e-17
1.25 5.86287e-17
1 4.48032e-17
0.75 -1.95552e-17
0.5 -6.71952e-17
0.25 4.23837e-17
4.64429e-15 -2.4457e-18
-0.25 1.78827e-17
-0.5 -4.48004e-17
-0.75 -5.86285e-17
-1 -8.95199e-18
-1.25 -8.30874e-19
-1.5 3.8256e-17
-1.75 5.68688e-18
-2 -1.6289e-17
