drain current vs gate bias
149 2 2
gate bias
drain current
20 2.03832e-06
19.75 2.01974e-06
19.5 2.00118e-06
19.25 1.98263e-06
19 1.96408e-06
18.75 1.94555e-06
18.5 1.92703e-06
18.25 1.90852e-06
18 1.89002e-06
17.75 1.87153e-06
17.5 1.85305e-06
17.25 1.83459e-06
17 1.81614e-06
16.75 1.79771e-06
16.5 1.77929e-06
16.25 1.76088e-06
16 1.7425e-06
15.75 1.72412e-06
15.5 1.70577e-06
15.25 1.68744e-06
15 1.66912e-06
14.75 1.65082e-06
14.5 1.63255e-06
14.25 1.6143e-06
14 1.59607e-06
13.75 1.57786e-06
13.5 1.55968e-06
13.25 1.54152e-06
13 1.5234e-06
12.75 1.5053e-06
12.5 1.48723e-06
12.25 1.46919e-06
12 1.45118e-06
11.75 1.43321e-06
11.5 1.41528e-06
11.25 1.39738e-06
11 1.37952e-06
10.75 1.3617e-06
10.5 1.34392e-06
10.25 1.32618e-06
10 1.3085e-06
9.75 1.29086e-06
9.5 1.27327e-06
9.25 1.25573e-06
9 1.23824e-06
8.75 1.22081e-06
8.5 1.20344e-06
8.25 1.18613e-06
8 1.16888e-06
7.75 1.1517e-06
7.5 1.13458e-06
7.25 1.11754e-06
7 1.10056e-06
6.75 1.08366e-06
6.5 1.06683e-06
6.25 1.05008e-06
6 1.03341e-06
5.75 1.01682e-06
5.5 1.00032e-06
5.25 9.83908e-07
5 9.67582e-07
4.75 9.51347e-07
4.5 9.35204e-07
4.25 9.19154e-07
4 9.03201e-07
3.75 8.87343e-07
3.5 8.71583e-07
3.25 8.55921e-07
3 8.40357e-07
2.75 8.24892e-07
2.5 8.09525e-07
2.25 7.94255e-07
2 7.79083e-07
1.75 7.64008e-07
1.5 7.49028e-07
1.25 7.34143e-07
1 7.19349e-07
0.75 7.04646e-07
0.5 6.9003e-07
0.25 6.75499e-07
4.64429e-15 6.61049e-07
-0.25 6.46677e-07
-0.5 6.32379e-07
-0.75 6.18149e-07
-1 6.03986e-07
-1.25 5.89884e-07
-1.5 5.7584e-07
-1.75 5.6185e-07
-2 5.47913e-07
-2.25 5.34024e-07
-2.5 5.20183e-07
-2.75 5.06388e-07
-3 4.92636e-07
-3.25 4.78927e-07
-3.5 4.65261e-07
-3.75 4.51635e-07
-4 4.3805e-07
-4.25 4.24506e-07
-4.5 4.11002e-07
-4.75 3.97537e-07
-5 3.84113e-07
-5.25 3.70729e-07
-5.5 3.57386e-07
-5.75 3.44083e-07
-6 3.30822e-07
-6.25 3.17603e-07
-6.5 3.04426e-07
-6.75 2.91294e-07
-7 2.78208e-07
-7.25 2.6517e-07
-7.5 2.52179e-07
-7.75 2.39239e-07
-8 2.26353e-07
-8.25 2.13524e-07
-8.5 2.00755e-07
-8.75 1.88051e-07
-9 1.75418e-07
-9.25 1.62861e-07
-9.5 1.50388e-07
-9.75 1.38008e-07
-10 1.25734e-07
-10.25 1.13579e-07
-10.5 1.01564e-07
-10.75 8.97147e-08
-11 7.80639e-08
-11.25 6.66583e-08
-11.5 5.55623e-08
-11.75 4.48672e-08
-12 3.47016e-08
-12.25 2.52474e-08
-12.5 1.67573e-08
-12.75 9.57699e-09
-13 4.17121e-09
-13.25 1.07689e-09
-13.5 1.33937e-10
-13.75 9.79204e-12
-14 5.07672e-13
-14.25 1.90852e-14
-14.5 5.76838e-16
-14.75 3.80988e-17
-15 -1.12557e-17
-15.25 -8.96334e-18
-15.5 -5.70642e-18
-15.75 1.79175e-17
-16 -4.88477e-17
-16.25 -4.06382e-18
-16.5 8.96096e-18
-16.75 1.99417e-17
-17 4.47712e-18
