drain current vs gate bias
101 2 2
gate bias
drain current
20 8.85805e-07
19.75 8.70357e-07
19.5 8.54921e-07
19.25 8.39497e-07
19 8.24088e-07
18.75 8.08692e-07
18.5 7.93312e-07
18.25 7.77946e-07
18 7.62598e-07
17.75 7.47266e-07
17.5 7.31952e-07
17.25 7.16657e-07
17 7.01382e-07
16.75 6.86127e-07
16.5 6.70894e-07
16.25 6.55684e-07
16 6.40498e-07
15.75 6.25338e-07
15.5 6.10203e-07
15.25 5.95097e-07
15 5.80021e-07
14.75 5.64975e-07
14.5 5.49962e-07
14.25 5.34984e-07
14 5.20042e-07
13.75 5.05139e-07
13.5 4.90276e-07
13.25 4.75455e-07
13 4.6068e-07
12.75 4.45953e-07
12.5 4.31276e-07
12.25 4.16652e-07
12 4.02084e-07
11.75 3.87576e-07
11.5 3.73131e-07
11.25 3.58753e-07
11 3.44445e-07
10.75 3.30212e-07
10.5 3.16059e-07
10.25 3.01989e-07
10 2.88008e-07
9.75 2.74122e-07
9.5 2.60337e-07
9.25 2.46659e-07
9 2.33095e-07
8.75 2.19653e-07
8.5 2.06341e-07
8.25 1.93169e-07
8 1.80146e-07
7.75 1.67283e-07
7.5 1.54595e-07
7.25 1.42094e-07
7 1.29796e-07
6.75 1.1772e-07
6.5 1.05887e-07
6.25 9.43216e-08
6 8.30531e-08
5.75 7.21174e-08
5.5 6.15578e-08
5.25 5.14278e-08
5 4.17936e-08
4.75 3.2738e-08
4.5 2.43683e-08
4.25 1.683e-08
4 1.0331e-08
3.75 5.18771e-09
3.5 1.83971e-09
3.25 3.98606e-10
3 5.58386e-11
2.75 5.90293e-12
2.5 5.00203e-13
2.25 3.37817e-14
2 1.75134e-15
1.75 1.04325e-16
1.5 -3.38525e-17
1.25 6.43664e-17
1 3.33856e-17
0.75 -7.73168e-17
0.5 7.73339e-19
0.25 -9.52732e-17
4.64429e-15 -4.399e-17
-0.25 8.94979e-18
-0.5 6.27048e-17
-0.75 7.08636e-17
-1 -7.57274e-17
-1.25 2.6069e-17
-1.5 2.52429e-17
-1.75 2.44155e-18
-2 5.62071e-17
-2.25 -1.2055e-16
-2.5 1.87295e-17
-2.75 -2.52459e-17
-3 -1.38628e-17
-3.25 5.21255e-17
-3.5 2.27913e-17
-3.75 -7.65311e-17
-4 -7.41133e-17
-4.25 -2.93651e-17
-4.5 8.93813e-18
-4.75 -7.35319e-18
-5 -1.87366e-17
