drain current vs gate bias
89 2 2
gate bias
drain current
20 7.02505e-07
19.75 6.8842e-07
19.5 6.74347e-07
19.25 6.60288e-07
19 6.46243e-07
18.75 6.32213e-07
18.5 6.182e-07
18.25 6.04202e-07
18 5.90222e-07
17.75 5.76261e-07
17.5 5.62318e-07
17.25 5.48396e-07
17 5.34495e-07
16.75 5.20617e-07
16.5 5.06762e-07
16.25 4.92932e-07
16 4.79129e-07
15.75 4.65353e-07
15.5 4.51606e-07
15.25 4.37891e-07
15 4.24208e-07
14.75 4.1056e-07
14.5 3.96949e-07
14.25 3.83377e-07
14 3.69846e-07
13.75 3.56358e-07
13.5 3.42918e-07
13.25 3.29526e-07
13 3.16187e-07
12.75 3.02904e-07
12.5 2.89681e-07
12.25 2.76521e-07
12 2.63428e-07
11.75 2.50408e-07
11.5 2.37465e-07
11.25 2.24605e-07
11 2.11834e-07
10.75 1.99159e-07
10.5 1.86587e-07
10.25 1.74125e-07
10 1.61785e-07
9.75 1.49575e-07
9.5 1.37509e-07
9.25 1.25599e-07
9 1.13861e-07
8.75 1.02316e-07
8.5 9.09842e-08
8.25 7.98941e-08
8 6.90792e-08
7.75 5.85823e-08
7.5 4.84587e-08
7.25 3.87832e-08
7 2.96592e-08
6.75 2.12367e-08
6.5 1.37396e-08
6.25 7.51047e-09
6 3.04433e-09
5.75 7.52678e-10
5.5 1.08439e-10
5.25 1.09991e-11
5 8.84045e-13
4.75 5.70093e-14
4.5 2.80395e-15
4.25 8.87442e-17
4 6.64372e-17
3.75 -1.37882e-17
3.5 2.52323e-17
3.25 8.97804e-18
3 2.52415e-17
2.75 -7.16879e-17
2.5 1.05593e-17
2.25 -2.44077e-18
2 -1.38183e-17
1.75 1.2194e-17
1.5 2.60361e-17
1.25 2.44282e-18
1 1.78875e-17
0.75 1.30379e-17
0.5 -2.44149e-17
0.25 -6.43299e-17
4.64429e-15 -5.6209e-17
-0.25 1.95467e-17
-0.5 -5.04853e-17
-0.75 7.32677e-18
-1 1.95489e-17
-1.25 -8.30635e-17
-1.5 -7.81746e-17
-1.75 5.69652e-18
-2 -2.45017e-18
