drain current vs gate bias
149 2 2
gate bias
drain current
20 2.04753e-06
19.75 2.02895e-06
19.5 2.01038e-06
19.25 1.99182e-06
19 1.97328e-06
18.75 1.95474e-06
18.5 1.93621e-06
18.25 1.91769e-06
18 1.89919e-06
17.75 1.88069e-06
17.5 1.86221e-06
17.25 1.84374e-06
17 1.82529e-06
16.75 1.80685e-06
16.5 1.78842e-06
16.25 1.77001e-06
16 1.75162e-06
15.75 1.73324e-06
15.5 1.71487e-06
15.25 1.69653e-06
15 1.67821e-06
14.75 1.6599e-06
14.5 1.64162e-06
14.25 1.62335e-06
14 1.60511e-06
13.75 1.58689e-06
13.5 1.5687e-06
13.25 1.55053e-06
13 1.53239e-06
12.75 1.51428e-06
12.5 1.4962e-06
12.25 1.47815e-06
12 1.46012e-06
11.75 1.44214e-06
11.5 1.42418e-06
11.25 1.40627e-06
11 1.38839e-06
10.75 1.37055e-06
10.5 1.35275e-06
10.25 1.335e-06
10 1.31729e-06
9.75 1.29963e-06
9.5 1.28202e-06
9.25 1.26445e-06
9 1.24694e-06
8.75 1.22949e-06
8.5 1.21209e-06
8.25 1.19475e-06
8 1.17748e-06
7.75 1.16026e-06
7.5 1.14312e-06
7.25 1.12604e-06
7 1.10903e-06
6.75 1.09209e-06
6.5 1.07523e-06
6.25 1.05844e-06
6 1.04174e-06
5.75 1.02511e-06
5.5 1.00857e-06
5.25 9.92118e-07
5 9.75751e-07
4.75 9.59474e-07
4.5 9.43288e-07
4.25 9.27196e-07
4 9.11199e-07
3.75 8.95297e-07
3.5 8.79492e-07
3.25 8.63785e-07
3 8.48177e-07
2.75 8.32666e-07
2.5 8.17254e-07
2.25 8.0194e-07
2 7.86724e-07
1.75 7.71605e-07
1.5 7.56581e-07
1.25 7.41653e-07
1 7.26817e-07
0.75 7.12073e-07
0.5 6.97418e-07
0.25 6.82848e-07
4.64429e-15 6.68362e-07
-0.25 6.53954e-07
-0.5 6.39622e-07
-0.75 6.25362e-07
-1 6.11168e-07
-1.25 5.97038e-07
-1.5 5.82968e-07
-1.75 5.68954e-07
-2 5.54992e-07
-2.25 5.41081e-07
-2.5 5.27218e-07
-2.75 5.13401e-07
-3 4.99629e-07
-3.25 4.859e-07
-3.5 4.72214e-07
-3.75 4.58569e-07
-4 4.44965e-07
-4.25 4.31401e-07
-4.5 4.17877e-07
-4.75 4.04394e-07
-5 3.9095e-07
-5.25 3.77546e-07
-5.5 3.64183e-07
-5.75 3.5086e-07
-6 3.37578e-07
-6.25 3.24338e-07
-6.5 3.1114e-07
-6.75 2.97985e-07
-7 2.84875e-07
-7.25 2.71813e-07
-7.5 2.58798e-07
-7.75 2.45831e-07
-8 2.32917e-07
-8.25 2.20058e-07
-8.5 2.07257e-07
-8.75 1.94518e-07
-9 1.81848e-07
-9.25 1.6925e-07
-9.5 1.56731e-07
-9.75 1.44301e-07
-10 1.31969e-07
-10.25 1.19748e-07
-10.5 1.07657e-07
-10.75 9.57167e-08
-11 8.39565e-08
-11.25 7.2416e-08
-11.5 6.11496e-08
-11.75 5.02342e-08
-12 3.97781e-08
-12.25 2.99348e-08
-12.5 2.09191e-08
-12.75 1.30269e-08
-13 6.65827e-09
-13.25 2.33452e-09
-13.5 4.21404e-10
-13.75 3.88709e-11
-14 2.37482e-12
-14.25 1.05117e-13
-14.5 3.32727e-15
-14.75 1.63498e-16
-15 7.69404e-18
-15.25 -8.92985e-18
-15.5 -5.61641e-17
-15.75 -2.20001e-17
-16 -1.13953e-17
-16.25 -8.87608e-17
-16.5 2.40298e-17
-16.75 2.97298e-17
-17 -3.45988e-17
