drain current vs gate bias
101 2 2
gate bias
drain current
20 8.51618e-07
19.75 8.36197e-07
19.5 8.20789e-07
19.25 8.05396e-07
19 7.90018e-07
18.75 7.74656e-07
18.5 7.5931e-07
18.25 7.43981e-07
18 7.2867e-07
17.75 7.13378e-07
17.5 6.98106e-07
17.25 6.82855e-07
17 6.67626e-07
16.75 6.5242e-07
16.5 6.37238e-07
16.25 6.22082e-07
16 6.06952e-07
15.75 5.91851e-07
15.5 5.76779e-07
15.25 5.61739e-07
15 5.46732e-07
14.75 5.3176e-07
14.5 5.16824e-07
14.25 5.01927e-07
14 4.87071e-07
13.75 4.72258e-07
13.5 4.57491e-07
13.25 4.42771e-07
13 4.28103e-07
12.75 4.13489e-07
12.5 3.98931e-07
12.25 3.84433e-07
12 3.69999e-07
11.75 3.55633e-07
11.5 3.41337e-07
11.25 3.27117e-07
11 3.12978e-07
10.75 2.98923e-07
10.5 2.84958e-07
10.25 2.71089e-07
10 2.57322e-07
9.75 2.43663e-07
9.5 2.3012e-07
9.25 2.167e-07
9 2.03412e-07
8.75 1.90265e-07
8.5 1.77269e-07
8.25 1.64437e-07
8 1.51781e-07
7.75 1.39316e-07
7.5 1.27058e-07
7.25 1.15025e-07
7 1.0324e-07
6.75 9.17283e-08
6.5 8.05208e-08
6.25 6.96547e-08
6 5.91758e-08
5.75 4.91403e-08
5.5 3.96181e-08
5.25 3.06978e-08
5 2.24951e-08
4.75 1.51686e-08
4.5 8.94891e-09
4.25 4.18985e-09
4 1.32577e-09
3.75 2.5379e-10
3.5 3.27087e-11
3.25 3.26151e-12
3 2.61272e-13
2.75 1.6603e-14
2.5 8.13788e-16
2.25 6.34883e-18
2 -1.47419e-17
1.75 -4.0613e-18
1.5 -1.46404e-17
1.25 2.03297e-17
1 -4.39749e-17
0.75 -8.14654e-17
0.5 5.04569e-17
0.25 2.60543e-17
4.64429e-15 -1.09097e-16
-0.25 -3.17251e-17
-0.5 6.18843e-17
-0.75 -4.64274e-17
-1 3.58324e-17
-1.25 9.79386e-18
-1.5 5.86391e-17
-1.75 4.39836e-17
-2 7.89969e-17
-2.25 8.15565e-18
-2.5 2.11654e-17
-2.75 -4.39677e-17
-3 5.4546e-17
-3.25 2.84767e-17
-3.5 -8.30839e-17
-3.75 -3.27517e-18
-4 -3.24724e-18
-4.25 -4.56103e-17
-4.5 2.44428e-17
-4.75 7.4069e-17
-5 -7.08506e-17
