drain current vs gate bias
101 2 2
gate bias
drain current
20 9.15681e-07
19.75 9.00212e-07
19.5 8.84755e-07
19.25 8.6931e-07
19 8.53877e-07
18.75 8.38458e-07
18.5 8.23052e-07
18.25 8.0766e-07
18 7.92284e-07
17.75 7.76923e-07
17.5 7.61579e-07
17.25 7.46252e-07
17 7.30943e-07
16.75 7.15654e-07
16.5 7.00384e-07
16.25 6.85135e-07
16 6.69909e-07
15.75 6.54705e-07
15.5 6.39526e-07
15.25 6.24373e-07
15 6.09246e-07
14.75 5.94148e-07
14.5 5.7908e-07
14.25 5.64043e-07
14 5.4904e-07
13.75 5.34071e-07
13.5 5.1914e-07
13.25 5.04247e-07
13 4.89396e-07
12.75 4.74587e-07
12.5 4.59825e-07
12.25 4.45111e-07
12 4.30448e-07
11.75 4.15839e-07
11.5 4.01287e-07
11.25 3.86796e-07
11 3.72368e-07
10.75 3.58008e-07
10.5 3.43719e-07
10.25 3.29507e-07
10 3.15374e-07
9.75 3.01327e-07
9.5 2.8737e-07
9.25 2.73509e-07
9 2.5975e-07
8.75 2.46099e-07
8.5 2.32564e-07
8.25 2.19152e-07
8 2.05872e-07
7.75 1.92733e-07
7.5 1.79745e-07
7.25 1.6692e-07
7 1.54271e-07
6.75 1.4181e-07
6.5 1.29555e-07
6.25 1.17524e-07
6 1.05738e-07
5.75 9.42212e-08
5.5 8.30034e-08
5.25 7.21198e-08
5 6.16135e-08
4.75 5.15369e-08
4.5 4.1954e-08
4.25 3.29448e-08
4 2.46121e-08
3.75 1.7095e-08
3.5 1.05921e-08
3.25 5.40797e-09
3 1.97382e-09
2.75 4.43313e-10
2.5 6.38376e-11
2.25 6.88211e-12
2 5.93559e-13
1.75 4.08597e-14
1.5 2.17341e-15
1.25 6.42402e-17
1 -2.43872e-17
0.75 -2.03308e-17
0.5 2.20005e-17
0.25 1.46518e-17
4.64429e-15 5.45394e-17
-0.25 -1.09101e-16
-0.5 1.05924e-17
-0.75 -5.29401e-17
-1 4.87739e-18
-1.25 -4.87539e-18
-1.5 -9.4449e-17
-1.75 2.44516e-18
-2 1.30251e-17
-2.25 -2.28086e-17
-2.5 -1.09942e-16
-2.75 -1.27849e-16
-3 1.46528e-17
-3.25 7.16721e-17
-3.5 3.74435e-17
-3.75 -6.51521e-17
-4 -7.89196e-19
-4.25 -5.77936e-17
-4.5 5.70071e-17
-4.75 2.45298e-18
-5 4.80462e-17
