drain current vs gate bias
101 2 2
gate bias
drain current
20 8.76917e-07
19.75 8.61475e-07
19.5 8.46046e-07
19.25 8.30631e-07
19 8.15229e-07
18.75 7.99841e-07
18.5 7.84469e-07
18.25 7.69113e-07
18 7.53774e-07
17.75 7.38452e-07
17.5 7.23148e-07
17.25 7.07864e-07
17 6.926e-07
16.75 6.77357e-07
16.5 6.62137e-07
16.25 6.4694e-07
16 6.31768e-07
15.75 6.16622e-07
15.5 6.01503e-07
15.25 5.86413e-07
15 5.71354e-07
14.75 5.56326e-07
14.5 5.41332e-07
14.25 5.26374e-07
14 5.11453e-07
13.75 4.96572e-07
13.5 4.81732e-07
13.25 4.66937e-07
13 4.52188e-07
12.75 4.37488e-07
12.5 4.2284e-07
12.25 4.08247e-07
12 3.93712e-07
11.75 3.79239e-07
11.5 3.6483e-07
11.25 3.50491e-07
11 3.36224e-07
10.75 3.22035e-07
10.5 3.07927e-07
10.25 2.93906e-07
10 2.79978e-07
9.75 2.66147e-07
9.5 2.52421e-07
9.25 2.38806e-07
9 2.25309e-07
8.75 2.11938e-07
8.5 1.98703e-07
8.25 1.85613e-07
8 1.72678e-07
7.75 1.59912e-07
7.5 1.47326e-07
7.25 1.34938e-07
7 1.22762e-07
6.75 1.1082e-07
6.5 9.91349e-08
6.25 8.77333e-08
6 7.66485e-08
5.75 6.59204e-08
5.5 5.55981e-08
5.25 4.57421e-08
5 3.64279e-08
4.75 2.77518e-08
4.5 1.98416e-08
4.25 1.2876e-08
4 7.11979e-09
3.75 2.97573e-09
3.5 7.95233e-10
3.25 1.30507e-10
3 1.5268e-11
2.75 1.41346e-12
2.5 1.04969e-13
2.25 6.15675e-15
2 2.67108e-16
1.75 2.67143e-17
1.5 -2.26804e-18
1.25 2.20057e-17
1 -4.09416e-18
0.75 -1.13962e-17
0.5 -8.3887e-17
0.25 -2.5293e-17
4.64429e-15 4.15431e-17
-0.25 -9.74892e-18
-0.5 5.70969e-18
-0.75 7.81754e-17
-1 -3.33769e-17
-1.25 1.73421e-16
-1.5 3.74555e-17
-1.75 2.68851e-17
-2 5.29185e-17
-2.25 7.41163e-17
-2.5 -9.76446e-18
-2.75 -8.15807e-18
-3 1.62764e-17
-3.25 3.58457e-17
-3.5 5.70033e-17
-3.75 1.78975e-17
-4 -1.3274e-16
-4.25 1.14419e-17
-4.5 1.62491e-18
-4.75 3.17714e-17
-5 7.81857e-17
