drain current vs gate bias
89 2 2
gate bias
drain current
20 6.84227e-07
19.75 6.70156e-07
19.5 6.56099e-07
19.25 6.42056e-07
19 6.28028e-07
18.75 6.14016e-07
18.5 6.00021e-07
18.25 5.86044e-07
18 5.72085e-07
17.75 5.58145e-07
17.5 5.44225e-07
17.25 5.30327e-07
17 5.16452e-07
16.75 5.026e-07
16.5 4.88774e-07
16.25 4.74974e-07
16 4.61202e-07
15.75 4.4746e-07
15.5 4.33749e-07
15.25 4.20071e-07
15 4.06428e-07
14.75 3.92822e-07
14.5 3.79255e-07
14.25 3.6573e-07
14 3.52249e-07
13.75 3.38815e-07
13.5 3.25431e-07
13.25 3.12101e-07
13 2.98826e-07
12.75 2.85612e-07
12.5 2.72462e-07
12.25 2.59381e-07
12 2.46372e-07
11.75 2.33443e-07
11.5 2.20597e-07
11.25 2.07842e-07
11 1.95183e-07
10.75 1.8263e-07
10.5 1.7019e-07
10.25 1.57872e-07
10 1.45689e-07
9.75 1.33652e-07
9.5 1.21775e-07
9.25 1.10076e-07
9 9.85744e-08
8.75 8.72942e-08
8.5 7.62646e-08
8.25 6.55221e-08
8 5.51134e-08
7.75 4.50997e-08
7.5 3.55648e-08
7.25 2.66268e-08
7 1.84597e-08
6.75 1.13286e-08
6.5 5.64043e-09
6.25 1.93449e-09
6 3.82048e-10
5.75 4.65423e-11
5.5 4.2445e-12
5.25 3.10289e-13
5 1.80388e-14
4.75 8.26937e-16
4.5 -2.68907e-17
4.25 -1.23789e-17
4 8.18781e-18
3.75 -6.76321e-17
3.5 -3.34061e-17
3.25 4.55809e-17
3 -2.92871e-17
2.75 -5.67983e-18
2.5 -3.82738e-17
2.25 -2.20006e-17
2 2.76726e-17
1.75 4.64034e-17
1.5 5.45582e-17
1.25 2.60368e-17
1 -8.14473e-19
0.75 4.96814e-17
0.5 -7.31548e-18
0.25 1.87239e-17
4.64429e-15 -1.6372e-18
-0.25 -3.90951e-17
-0.5 1.61464e-18
-0.75 -1.09936e-16
-1 4.23656e-17
-1.25 -1.0582e-17
-1.5 -3.26549e-18
-1.75 -4.396e-17
-2 1.62851e-17
