drain current vs gate bias
89 2 2
gate bias
drain current
20 6.69855e-07
19.75 6.55797e-07
19.5 6.41753e-07
19.25 6.27724e-07
19 6.1371e-07
18.75 5.99714e-07
18.5 5.85735e-07
18.25 5.71774e-07
18 5.57833e-07
17.75 5.43912e-07
17.5 5.30012e-07
17.25 5.16135e-07
17 5.02281e-07
16.75 4.88453e-07
16.5 4.74651e-07
16.25 4.60876e-07
16 4.47132e-07
15.75 4.33418e-07
15.5 4.19737e-07
15.25 4.06092e-07
15 3.92483e-07
14.75 3.78913e-07
14.5 3.65385e-07
14.25 3.51901e-07
14 3.38464e-07
13.75 3.25076e-07
13.5 3.11741e-07
13.25 2.98463e-07
13 2.85245e-07
12.75 2.7209e-07
12.5 2.59004e-07
12.25 2.45991e-07
12 2.33057e-07
11.75 2.20206e-07
11.5 2.07445e-07
11.25 1.94781e-07
11 1.82222e-07
10.75 1.69776e-07
10.5 1.57453e-07
10.25 1.45263e-07
10 1.3322e-07
9.75 1.21337e-07
9.5 1.09632e-07
9.25 9.81242e-08
9 8.68384e-08
8.75 7.58038e-08
8.5 6.50574e-08
8.25 5.46464e-08
8 4.4633e-08
7.75 3.51026e-08
7.5 2.61762e-08
7.25 1.80329e-08
7 1.09474e-08
6.75 5.34258e-09
6.5 1.7673e-09
6.25 3.33609e-10
6 3.9325e-11
5.75 3.50075e-12
5.5 2.50007e-13
5.25 1.41914e-14
5 6.30349e-16
4.75 2.35087e-17
4.5 1.83734e-17
4.25 -6.431e-17
4 3.0092e-17
3.75 -1.05701e-17
3.5 5.05275e-17
3.25 -4.64042e-17
3 1.8721e-17
2.75 -1.71017e-17
2.5 -2.84804e-17
2.25 -1.2622e-16
2 -1.63058e-17
1.75 -1.54751e-17
1.5 -1.46667e-17
1.25 -5.86483e-17
1 5.12824e-17
0.75 -5.45706e-17
0.5 4.31568e-17
0.25 -3.5823e-17
4.64429e-15 -1.38336e-17
-0.25 1.38622e-17
-0.5 4.88674e-17
-0.75 -7.31166e-18
-1 -1.9518e-17
-1.25 6.26966e-17
-1.5 -1.87379e-17
-1.75 -1.87407e-17
-2 -8.22366e-19
