delta Vth shift(V) Exp
13 2 2
time
delta vth 
1.00E+04 -0.097368
9.07E+03 -0.14474
7.91E+03 -0.19211
6.96E+03 -0.12105
6.01E+03 -0.14474
5.02E+03 -0.14474
4.01E+03 -0.16842
2.97E+03 -0.05
1.93E+03 -0.026316
1.04E+03 -0.026316
5.95E+02 0.068421
2.97E+01 0.021053
0 0
