delta Vth sim data (medium)
13 2 2
time
delta vth
0 0
100 0.68779
500 1.21164
1000 1.47678
2000 1.74616
3000 1.95861
4000 2.16596
5000 2.25956
6000 2.42871
7000 2.51588
8000 2.63432
9000 2.7289
10000 2.82926
