drain current vs gate bias
149 2 2
gate bias
drain current
20 2.035e-06
19.75 2.01643e-06
19.5 1.99787e-06
19.25 1.97932e-06
19 1.96078e-06
18.75 1.94224e-06
18.5 1.92372e-06
18.25 1.90521e-06
18 1.88672e-06
17.75 1.86823e-06
17.5 1.84976e-06
17.25 1.8313e-06
17 1.81285e-06
16.75 1.79442e-06
16.5 1.776e-06
16.25 1.7576e-06
16 1.73921e-06
15.75 1.72085e-06
15.5 1.7025e-06
15.25 1.68416e-06
15 1.66585e-06
14.75 1.64756e-06
14.5 1.62929e-06
14.25 1.61104e-06
14 1.59281e-06
13.75 1.57461e-06
13.5 1.55643e-06
13.25 1.53828e-06
13 1.52016e-06
12.75 1.50206e-06
12.5 1.484e-06
12.25 1.46597e-06
12 1.44797e-06
11.75 1.43e-06
11.5 1.41207e-06
11.25 1.39418e-06
11 1.37632e-06
10.75 1.35851e-06
10.5 1.34074e-06
10.25 1.32301e-06
10 1.30533e-06
9.75 1.2877e-06
9.5 1.27012e-06
9.25 1.25259e-06
9 1.23511e-06
8.75 1.21769e-06
8.5 1.20033e-06
8.25 1.18303e-06
8 1.16579e-06
7.75 1.14862e-06
7.5 1.13152e-06
7.25 1.11448e-06
7 1.09752e-06
6.75 1.08062e-06
6.5 1.06381e-06
6.25 1.04707e-06
6 1.03042e-06
5.75 1.01385e-06
5.5 9.97359e-07
5.25 9.80958e-07
5 9.64647e-07
4.75 9.48427e-07
4.5 9.32299e-07
4.25 9.16265e-07
4 9.00327e-07
3.75 8.84486e-07
3.5 8.68742e-07
3.25 8.53096e-07
3 8.37549e-07
2.75 8.22099e-07
2.5 8.06749e-07
2.25 7.91495e-07
2 7.7634e-07
1.75 7.6128e-07
1.5 7.46316e-07
1.25 7.31446e-07
1 7.16668e-07
0.75 7.01979e-07
0.5 6.87378e-07
0.25 6.7286e-07
4.64429e-15 6.58424e-07
-0.25 6.44064e-07
-0.5 6.29777e-07
-0.75 6.1556e-07
-1 6.01407e-07
-1.25 5.87315e-07
-1.5 5.7328e-07
-1.75 5.59299e-07
-2 5.4537e-07
-2.25 5.3149e-07
-2.5 5.17657e-07
-2.75 5.03869e-07
-3 4.90125e-07
-3.25 4.76423e-07
-3.5 4.62764e-07
-3.75 4.49145e-07
-4 4.35568e-07
-4.25 4.2203e-07
-4.5 4.08533e-07
-4.75 3.95076e-07
-5 3.81659e-07
-5.25 3.68282e-07
-5.5 3.54945e-07
-5.75 3.4165e-07
-6 3.28397e-07
-6.25 3.15185e-07
-6.5 3.02016e-07
-6.75 2.88892e-07
-7 2.75816e-07
-7.25 2.62786e-07
-7.5 2.49804e-07
-7.75 2.36874e-07
-8 2.23999e-07
-8.25 2.11181e-07
-8.5 1.98424e-07
-8.75 1.85734e-07
-9 1.73114e-07
-9.25 1.60573e-07
-9.5 1.48117e-07
-9.75 1.35756e-07
-10 1.23503e-07
-10.25 1.11374e-07
-10.5 9.93886e-08
-10.75 8.75737e-08
-11 7.59653e-08
-11.25 6.46122e-08
-11.5 5.3583e-08
-11.75 4.29746e-08
-12 3.29239e-08
-12.25 2.36239e-08
-12.5 1.53423e-08
-12.75 8.44469e-09
-13 3.42046e-09
-13.25 7.76424e-10
-13.5 8.56468e-11
-13.75 5.83939e-12
-14 2.85898e-13
-14.25 1.01328e-14
-14.5 2.1538e-16
-14.75 2.31473e-17
-15 -1.29884e-17
-15.25 -1.71062e-17
-15.5 3.66477e-17
-15.75 -3.90775e-17
-16 5.29488e-17
-16.25 4.31383e-17
-16.5 8.14772e-18
-16.75 -2.07901e-17
-17 2.84618e-18
