delta Vth sim data (low)
13 2 2
time
delta vth
0 0
100 0.89401
500 1.63223
1000 2.02922
2000 2.47561
3000 2.77075
4000 3.04123
5000 3.23324
6000 3.44314
7000 3.55577
8000 3.7095
9000 3.82246
10000 3.97049
