drain current vs gate bias
51 2 2
gate bias
drain current
-5 -1.72661e-16
-4.5 -1.53889e-16
-4 -5.15788e-16
-3.5 -1.55458e-16
-3 -6.34329e-16
-2.5 -1.8861e-16
-2 5.51135e-16
-1.5 2.23958e-16
-1 1.38766e-14
-0.5 5.63228e-12
0 8.68403e-11
0.5 5.77918e-10
1 2.34034e-09
1.5 6.27716e-09
2 1.21009e-08
2.5 1.91436e-08
3 2.6918e-08
3.5 3.51401e-08
4 4.36515e-08
4.5 5.23606e-08
5 6.12111e-08
5.5 7.01665e-08
6 7.92021e-08
6.5 8.83005e-08
7 9.74494e-08
7.5 1.0664e-07
8 1.15864e-07
8.5 1.25118e-07
9 1.34397e-07
9.5 1.43697e-07
10 1.53017e-07
10.5 1.62355e-07
11 1.71708e-07
11.5 1.81075e-07
12 1.90456e-07
12.5 1.99849e-07
13 2.09253e-07
13.5 2.18669e-07
14 2.28094e-07
14.5 2.37529e-07
15 2.46974e-07
15.5 2.56427e-07
16 2.65889e-07
16.5 2.7536e-07
17 2.84838e-07
17.5 2.94324e-07
18 3.03817e-07
18.5 3.13318e-07
19 3.22826e-07
19.5 3.32341e-07
20 3.41863e-07
