drain current vs gate bias
82 2 2
gate bias
drain current
-20.4731 5.80093e-14
-19.9731 6.08157e-14
-19.4731 6.37711e-14
-18.9731 6.75354e-14
-18.4731 7.08029e-14
-17.9731 7.47617e-14
-17.4731 8.00662e-14
-16.9731 8.49868e-14
-16.4731 9.09065e-14
-15.9731 9.67484e-14
-15.4731 1.03841e-13
-14.9731 1.12107e-13
-14.4731 1.21006e-13
-13.9731 1.31739e-13
-13.4731 1.4414e-13
-12.9731 1.59528e-13
-12.4731 1.77608e-13
-11.9731 1.99689e-13
-11.4731 2.26916e-13
-10.9731 2.62172e-13
-10.4731 3.07976e-13
-9.9731 3.70721e-13
-9.4731 4.63535e-13
-8.9731 6.14741e-13
-8.4731 9.03249e-13
-7.9731 1.67889e-12
-7.4731 6.33712e-12
-6.9731 7.2064e-11
-6.4731 5.34824e-10
-5.9731 2.234e-09
-5.4731 5.87334e-09
-4.9731 1.11928e-08
-4.4731 1.76311e-08
-3.9731 2.47805e-08
-3.4731 3.24049e-08
-2.9731 4.03708e-08
-2.4731 4.8596e-08
-1.9731 5.70231e-08
-1.4731 6.5609e-08
-0.9731 7.43215e-08
-0.4731 8.31369e-08
0.0269 9.20372e-08
0.5269 1.01009e-07
1.0269 1.10041e-07
1.5269 1.19125e-07
2.0269 1.28253e-07
2.5269 1.37419e-07
3.0269 1.46619e-07
3.5269 1.55846e-07
4.0269 1.65099e-07
4.5269 1.74374e-07
5.0269 1.83669e-07
5.5269 1.92981e-07
6.0269 2.02308e-07
6.5269 2.1165e-07
7.0269 2.21006e-07
7.5269 2.30373e-07
8.0269 2.39751e-07
8.5269 2.49141e-07
9.0269 2.5854e-07
9.5269 2.67948e-07
10.0269 2.77366e-07
10.5269 2.86792e-07
11.0269 2.96227e-07
11.5269 3.0567e-07
12.0269 3.1512e-07
12.5269 3.24578e-07
13.0269 3.34043e-07
13.5269 3.43516e-07
14.0269 3.52995e-07
14.5269 3.62482e-07
15.0269 3.71975e-07
15.5269 3.81475e-07
16.0269 3.90981e-07
16.5269 4.00493e-07
17.0269 4.10012e-07
17.5269 4.19537e-07
18.0269 4.29068e-07
18.5269 4.38605e-07
19.0269 4.48148e-07
19.5269 4.57696e-07
20 4.66736e-07
