ID-VG calculated with IGZO.TOKYO
101 8 8
gate bias
Drain_253K
Drain_273K
Drain_300K
Drain_313K
Drain_333K
Drain_358K
Drain_393K
6 7.17547e-09 8.36115e-09 1.00328e-08 1.08618e-08 1.21624e-08 1.3823e-08 1.61948e-08
6.25 7.81938e-09 9.0776e-09 1.08444e-08 1.1718e-08 1.30854e-08 1.48265e-08 1.73051e-08
6.5 8.47778e-09 9.80821e-09 1.16695e-08 1.25873e-08 1.4021e-08 1.58417e-08 1.84258e-08
6.75 9.15009e-09 1.05524e-08 1.25076e-08 1.34692e-08 1.49685e-08 1.68679e-08 1.95564e-08
7 9.83579e-09 1.13096e-08 1.33581e-08 1.43631e-08 1.59273e-08 1.79048e-08 2.06965e-08
7.25 1.05344e-08 1.20794e-08 1.42204e-08 1.52686e-08 1.68971e-08 1.89518e-08 2.18454e-08
7.5 1.12454e-08 1.28613e-08 1.50942e-08 1.61851e-08 1.78774e-08 2.00084e-08 2.30029e-08
7.75 1.19685e-08 1.36549e-08 1.5979e-08 1.71122e-08 1.88677e-08 2.10743e-08 2.41686e-08
8 1.27033e-08 1.44597e-08 1.68745e-08 1.80497e-08 1.98677e-08 2.21492e-08 2.53421e-08
8.25 1.34493e-08 1.52755e-08 1.77802e-08 1.8997e-08 2.08771e-08 2.32326e-08 2.6523e-08
8.5 1.42062e-08 1.61018e-08 1.86958e-08 1.9954e-08 2.18955e-08 2.43243e-08 2.77113e-08
8.75 1.49738e-08 1.69384e-08 1.96211e-08 2.09202e-08 2.29226e-08 2.5424e-08 2.89064e-08
9 1.57517e-08 1.77849e-08 2.05557e-08 2.18955e-08 2.39582e-08 2.65315e-08 3.01083e-08
9.25 1.65397e-08 1.86411e-08 2.14994e-08 2.28794e-08 2.50019e-08 2.76464e-08 3.13166e-08
9.5 1.73373e-08 1.95067e-08 2.24519e-08 2.38718e-08 2.60536e-08 2.87685e-08 3.25312e-08
9.75 1.81445e-08 2.03815e-08 2.34129e-08 2.48725e-08 2.71129e-08 2.98977e-08 3.37519e-08
10 1.8961e-08 2.12651e-08 2.43822e-08 2.58811e-08 2.81798e-08 3.10337e-08 3.49785e-08
10.25 1.97864e-08 2.21574e-08 2.53595e-08 2.68975e-08 2.92539e-08 3.21763e-08 3.62107e-08
10.5 2.06207e-08 2.30582e-08 2.63448e-08 2.79214e-08 3.03351e-08 3.33253e-08 3.74485e-08
10.75 2.14635e-08 2.39672e-08 2.73377e-08 2.89528e-08 3.14231e-08 3.44806e-08 3.86916e-08
11 2.23147e-08 2.48842e-08 2.83381e-08 2.99913e-08 3.25179e-08 3.5642e-08 3.994e-08
11.25 2.31741e-08 2.58091e-08 2.93458e-08 3.10368e-08 3.36192e-08 3.68093e-08 4.11934e-08
