EXPORTED XY-GRAPH DATA
25 2 2
Drain Voltage
Drain Current
0.000e+00 0.000e+00
1.566e+00 3.809e-05
2.420e+00 5.476e-05
3.132e+00 7.381e-05
3.986e+00 8.571e-05
4.698e+00 9.762e-05
5.694e+00 1.071e-04
6.406e+00 1.214e-04
7.260e+00 1.298e-04
7.972e+00 1.357e-04
8.826e+00 1.405e-04
9.537e+00 1.452e-04
1.039e+01 1.476e-04
1.110e+01 1.524e-04
1.210e+01 1.524e-04
1.281e+01 1.548e-04
1.367e+01 1.571e-04
1.438e+01 1.571e-04
1.523e+01 1.571e-04
1.609e+01 1.571e-04
1.680e+01 1.571e-04
1.751e+01 1.571e-04
1.836e+01 1.595e-04
1.907e+01 1.571e-04
1.993e+01 1.571e-04
