EXPORTED XY-GRAPH DATA
25 2 2
Drain Voltage
Drain Current
0.000e+00 0.000e+00
1.566e+00 2.381e-05
2.420e+00 3.095e-05
3.274e+00 4.048e-05
3.986e+00 4.762e-05
4.840e+00 5.238e-05
5.552e+00 5.714e-05
6.406e+00 6.309e-05
7.117e+00 6.547e-05
7.972e+00 6.547e-05
8.826e+00 6.547e-05
9.537e+00 6.786e-05
1.039e+01 6.786e-05
1.125e+01 6.786e-05
1.196e+01 6.786e-05
1.281e+01 6.786e-05
1.367e+01 6.786e-05
1.438e+01 6.786e-05
1.509e+01 6.786e-05
1.594e+01 6.786e-05
1.680e+01 6.786e-05
1.751e+01 6.786e-05
1.836e+01 6.786e-05
1.907e+01 6.786e-05
1.993e+01 6.786e-05
