EXPORTED XY-GRAPH DATA
26 2 2
Drain Voltage
Drain Current
0.000e+00 0.000e+00
7.117e-01 3.809e-05
1.566e+00 7.619e-05
2.278e+00 1.119e-04
3.132e+00 1.452e-04
3.986e+00 1.738e-04
4.840e+00 2.012e-04
5.552e+00 2.298e-04
6.406e+00 2.559e-04
7.260e+00 2.798e-04
8.114e+00 3.012e-04
8.826e+00 3.226e-04
9.680e+00 3.417e-04
1.053e+01 3.583e-04
1.125e+01 3.726e-04
1.210e+01 3.869e-04
1.295e+01 4.012e-04
1.367e+01 4.107e-04
1.452e+01 4.202e-04
1.537e+01 4.298e-04
1.601e+01 4.357e-04
1.687e+01 4.452e-04
1.758e+01 4.500e-04
1.829e+01 4.548e-04
1.929e+01 4.595e-04
2.014e+01 4.595e-04
