EXPORTED XY-GRAPH DATA
25 2 2
Drain Voltage
Drain Current
0.000e+00 0.000e+00
1.637e+00 5.595e-05
2.349e+00 8.333e-05
3.203e+00 1.048e-04
4.057e+00 1.286e-04
4.769e+00 1.500e-04
5.623e+00 1.667e-04
6.477e+00 1.833e-04
7.189e+00 2.024e-04
8.043e+00 2.143e-04
8.897e+00 2.262e-04
9.609e+00 2.381e-04
1.046e+01 2.476e-04
1.132e+01 2.548e-04
1.203e+01 2.643e-04
1.288e+01 2.690e-04
1.359e+01 2.738e-04
1.445e+01 2.809e-04
1.530e+01 2.833e-04
1.616e+01 2.833e-04
1.687e+01 2.881e-04
1.758e+01 2.857e-04
1.829e+01 2.857e-04
1.929e+01 2.881e-04
2.000e+01 2.881e-04
