drain current vs drain bias
43 2 2
drain bias
drain current
0.1025 5.65463e-05
0.105 5.79012e-05
0.1075 5.92544e-05
0.11 6.06058e-05
0.2 0.000107995
0.3 0.000157487
0.4 0.000203369
0.5 0.000245399
0.6 0.000283342
0.7 0.000316994
0.8 0.000346224
0.9 0.000371012
1 0.000391482
1.1 0.000407918
1.2 0.000420762
1.3 0.000430614
1.4 0.000438199
1.5 0.000444261
1.6 0.000449483
1.7 0.000454963
1.8 0.000463957
1.9 0.000477851
2 0.000492066
2.1 0.000505038
2.2 0.000517007
2.3 0.000528597
2.4 0.000540492
2.5 0.000553287
2.6 0.000567443
2.7 0.00058325
2.8 0.000600878
2.9 0.000620396
3 0.000641879
3.1 0.000665494
3.2 0.000691558
3.3 0.000720391
3.4 0.000752608
3.5 0.000789117
3.6 0.000831107
3.7 0.000880191
3.8 0.000938511
3.9 0.00100912
4 0.00109658
