Stress XX vs Depth
63 2 2
Depth
Stress XX
0 -139.997
0.002 -95.3906
0.004 -54.2333
0.006 -15.3355
0.008 23.6475
0.01 65.9925
0.012 115.856
0.014 178.476
0.016 259.578
0.018 361.977
0.02 318.206
0.02 318.206
0.021 201.663
0.022 446.768
0.022 446.768
0.0226667 679.715
0.0233333 710.329
0.024 740.233
0.0246667 769.377
0.0253333 797.74
0.026 825.306
0.0266667 852.047
0.0273333 877.918
0.028 902.846
0.0286667 926.74
0.0293333 949.487
0.03 -173.484
0.03 -173.484
0.031 -1288.77
0.032 -1263.04
0.033 -1241.23
0.034 -1223.77
0.035 -1211.07
0.036 -1203.42
0.037 -1201.04
0.038 -1204.06
0.039 -1212.48
0.04 -1226.23
0.041 -1245.1
0.042 -1268.83
0.043 -1297.03
0.044 -1329.28
0.045 -222.498
0.045 -222.498
0.047036 836.947
0.0492244 738.047
0.0515766 627.619
0.0541048 511.494
0.0568223 396.438
0.0597433 289.129
0.0628828 195.118
0.0662574 118.073
0.0698845 59.4922
0.0737831 18.8875
0.0779736 -5.77503
0.0824777 -17.5991
0.0873189 -20.3465
0.0925226 -17.9193
0.0981157 -13.6132
0.104127 -9.51395
0.110589 -6.4976
0.117535 -4.71239
0.125 -4.10902
