Hole Conc vs Depth
146 2 2
Depth
Hole Conc
0 5.42713e-39
1.00039 0.00228696
1.7717 0.494889
2.36638 68.2907
2.82487 5942.41
3.17838 323899
3.45093 1.10417e+07
3.66106 2.36551e+08
3.82308 3.22574e+09
3.94799 2.86433e+10
4.0443 1.71332e+11
4.11855 7.21635e+11
4.1758 2.25243e+12
4.21994 5.49022e+12
4.25398 1.09713e+13
4.28022 1.87448e+13
4.30045 2.8342e+13
4.31604 3.89806e+13
4.32807 4.98309e+13
4.33734 6.02086e+13
4.34449 6.96547e+13
4.35 7.79308e+13
4.35499 8.62656e+13
4.35948 9.44902e+13
4.3635 1.0252e+14
4.36711 1.10276e+14
4.37035 1.17677e+14
4.37326 1.24629e+14
4.37587 1.31023e+14
4.37821 1.36721e+14
4.38031 1.41557e+14
4.3822 1.45348e+14
4.38389 1.47901e+14
4.38541 1.49045e+14
4.38677 1.48651e+14
4.388 1.46658e+14
4.38909 1.43089e+14
4.39008 1.38054e+14
4.39096 1.31746e+14
4.39176 1.24418e+14
4.39247 1.1636e+14
4.39311 1.0787e+14
4.39368 9.92321e+13
4.3942 9.06952e+13
4.39466 8.24618e+13
4.39507 7.4684e+13
4.39545 6.7464e+13
4.39578 6.08598e+13
4.39608 5.48924e+13
4.39635 4.95546e+13
4.39659 4.48188e+13
4.39681 4.0644e+13
4.397 2.40931e+17
4.397 2.40931e+17
4.3972 1.09964e+18
4.3974 3.65793e+18
4.3976 8.86205e+18
4.3978 1.64716e+19
4.398 2.5518e+19
4.3982 3.53201e+19
4.3984 4.57497e+19
4.3986 5.71355e+19
4.3988 7.01848e+19
4.399 8.60011e+19
4.3992 1.06209e+20
4.3994 1.33206e+20
4.3996 1.70607e+20
4.3998 2.23987e+20
4.4 3.02134e+20
4.4 3.02134e+20
4.4002 2.52362e+19
4.40041 2.1619e+19
4.40065 1.87738e+19
4.40091 1.65521e+19
4.40121 1.48297e+19
4.40153 1.35052e+19
4.40189 1.24969e+19
4.40228 1.17394e+19
4.40272 1.118e+19
4.40321 1.0776e+19
4.40375 1.04921e+19
4.40434 1.02993e+19
4.405 1.01736e+19
4.40573 1.00954e+19
4.40653 1.00494e+19
4.40742 1.00239e+19
4.40841 1.00108e+19
4.4095 1.00045e+19
4.41071 1.00017e+19
4.41205 1.00006e+19
4.41353 1.00002e+19
4.41517 1.00001e+19
4.41698 1e+19
4.41899 1e+19
4.42121 1e+19
4.42367 1e+19
4.42639 1e+19
4.4294 1e+19
4.43273 1e+19
4.43641 1e+19
4.44049 1e+19
4.445 1e+19
4.45 1e+19
4.45499 1e+19
4.45957 1e+19
4.46378 1e+19
4.46765 1e+19
4.4712 1e+19
4.47446 9.99999e+18
4.47745 9.99996e+18
4.4802 9.99968e+18
4.48273 9.998e+18
4.48504 9.98892e+18
4.48717 9.94536e+18
4.48913 9.76065e+18
4.49093 9.08171e+18
4.49258 7.0831e+18
4.49409 3.35249e+18
4.49548 5.78051e+17
4.49676 3.41592e+16
4.49793 3.20336e+15
4.49901 1.99588e+15
4.5 1.06007e+16
4.5 1.06007e+16
4.50096 1.73915e+17
4.50216 1.52124e+18
4.50366 5.33232e+18
4.50552 8.53047e+18
4.50785 9.69999e+18
4.51076 9.95755e+18
4.51438 9.99583e+18
4.51891 9.99972e+18
4.52455 9.99999e+18
4.53158 1e+19
4.54036 1e+19
4.55131 1e+19
4.56497 1e+19
4.58202 1e+19
4.60328 1e+19
4.6298 1e+19
4.66289 1e+19
4.70417 1e+19
4.75566 1e+19
4.8199 1e+19
4.90003 1e+19
5 1e+19
