Hole Conc vs Depth
146 2 2
Depth
Hole Conc
0 5.42713e-39
1.00039 20.6722
1.7717 2692.28
2.36638 245735
2.82487 1.53436e+07
3.17838 6.42458e+08
3.45093 1.7791e+10
3.66106 3.23875e+11
3.82308 3.89008e+12
3.94799 3.12993e+13
4.0443 1.73446e+14
4.11855 6.88533e+14
4.1758 2.05243e+15
4.21994 4.82582e+15
4.25398 9.37353e+15
4.28022 1.56572e+16
4.30045 2.32498e+16
4.31604 3.1518e+16
4.32807 3.98287e+16
4.33734 4.76834e+16
4.34449 5.47648e+16
4.35 6.09218e+16
4.35499 6.70816e+16
4.35948 7.31231e+16
4.3635 7.8988e+16
4.36711 8.46202e+16
4.37035 8.99571e+16
4.37326 9.49187e+16
4.37587 9.9393e+16
4.37821 1.03223e+17
4.38031 1.06198e+17
4.3822 1.08061e+17
4.38389 1.08529e+17
4.38541 1.07333e+17
4.38677 1.04278e+17
4.388 9.92906e+16
4.38909 9.24692e+16
4.39008 8.40911e+16
4.39096 7.45904e+16
4.39176 6.45008e+16
4.39247 5.43798e+16
4.39311 4.47334e+16
4.39368 3.59575e+16
4.3942 2.83069e+16
4.39466 2.18926e+16
4.39507 1.67014e+16
4.39545 1.26303e+16
4.39578 9.523e+15
4.39608 7.20371e+15
4.39635 5.50165e+15
4.39659 4.26642e+15
4.39681 3.37455e+15
4.397 1.09816e+19
4.397 1.09816e+19
4.3972 2.31767e+19
4.3974 3.6582e+19
4.3976 4.92808e+19
4.3978 6.07052e+19
4.398 7.09695e+19
4.3982 8.05035e+19
4.3984 8.9906e+19
4.3986 9.9913e+19
4.3988 1.11435e+20
4.399 1.25657e+20
4.3992 1.44203e+20
4.3994 1.69418e+20
4.3996 2.04824e+20
4.3998 2.55882e+20
4.4 3.31293e+20
4.4 3.31293e+20
4.4002 3.96362e+19
4.40041 3.1544e+19
4.40065 2.55678e+19
4.40091 2.11798e+19
4.40121 1.79682e+19
4.40153 1.56225e+19
4.40189 1.39146e+19
4.40228 1.26781e+19
4.40272 1.17916e+19
4.40321 1.11659e+19
4.40375 1.07338e+19
4.40434 1.04439e+19
4.405 1.02565e+19
4.40573 1.01406e+19
4.40653 1.00727e+19
4.40742 1.00352e+19
4.40841 1.00158e+19
4.4095 1.00066e+19
4.41071 1.00025e+19
4.41205 1.00009e+19
4.41353 1.00003e+19
4.41517 1.00001e+19
4.41698 1e+19
4.41899 1e+19
4.42121 1e+19
4.42367 1e+19
4.42639 1e+19
4.4294 1e+19
4.43273 1e+19
4.43641 1e+19
4.44049 1e+19
4.445 1e+19
4.45 1e+19
4.45499 1e+19
4.45957 1e+19
4.46378 1e+19
4.46765 1e+19
4.4712 1e+19
4.47446 9.99999e+18
4.47745 9.99994e+18
4.4802 9.99957e+18
4.48273 9.99729e+18
4.48504 9.985e+18
4.48717 9.92622e+18
4.48913 9.67829e+18
4.49093 8.78277e+18
4.49258 6.29585e+18
4.49409 2.37308e+18
4.49548 2.89012e+17
4.49676 1.96453e+16
4.49793 7.15816e+15
4.49901 5.58801e+15
4.5 3.00751e+16
4.5 3.00751e+16
4.50096 3.80927e+17
4.50216 2.35395e+18
4.50366 6.21632e+18
4.50552 8.86636e+18
4.50785 9.77194e+18
4.51076 9.96787e+18
4.51438 9.99685e+18
4.51891 9.99979e+18
4.52455 9.99999e+18
4.53158 1e+19
4.54036 1e+19
4.55131 1e+19
4.56497 1e+19
4.58202 1e+19
4.60328 1e+19
4.6298 1e+19
4.66289 1e+19
4.70417 1e+19
4.75566 1e+19
4.8199 1e+19
4.90003 1e+19
5 1e+19
