Electron Conc vs Depth
146 2 2
Depth
Electron Conc
0 1e+18
1.00039 1e+18
1.7717 1e+18
2.36638 1e+18
2.82487 1e+18
3.17838 1e+18
3.45093 1e+18
3.66106 1.00002e+18
3.82308 1.00013e+18
3.94799 1.00078e+18
4.0443 1.00336e+18
4.11855 1.01099e+18
4.1758 1.02824e+18
4.21994 1.05931e+18
4.25398 1.10591e+18
4.28022 1.16645e+18
4.30045 1.23675e+18
4.31604 1.31154e+18
4.32807 1.38584e+18
4.33734 1.45574e+18
4.34449 1.51874e+18
4.35 1.57362e+18
4.35499 1.62871e+18
4.35948 1.68298e+18
4.3635 1.73601e+18
4.36711 1.78743e+18
4.37035 1.83697e+18
4.37326 1.88446e+18
4.37587 1.92995e+18
4.37821 1.97374e+18
4.38031 2.01667e+18
4.3822 2.0604e+18
4.38389 2.10777e+18
4.38541 2.16327e+18
4.38677 2.23349e+18
4.388 2.32754e+18
4.38909 2.45749e+18
4.39008 2.63887e+18
4.39096 2.89129e+18
4.39176 3.23912e+18
4.39247 3.71198e+18
4.39311 4.34479e+18
4.39368 5.17672e+18
4.3942 6.249e+18
4.39466 7.60169e+18
4.39507 9.27006e+18
4.39545 1.12814e+19
4.39578 1.36526e+19
4.39608 1.63895e+19
4.39635 1.9486e+19
4.39659 2.29251e+19
4.39681 2.66791e+19
4.397 1.47821e+20
4.397 1.47821e+20
4.3972 1.38099e+20
4.3974 1.30776e+20
4.3976 1.25175e+20
4.3978 1.20771e+20
4.398 1.17154e+20
4.3982 1.13987e+20
4.3984 1.1098e+20
4.3986 1.07856e+20
4.3988 1.04334e+20
4.399 1.00101e+20
4.3992 9.47897e+19
4.3994 8.79559e+19
4.3996 7.90639e+19
4.3998 6.74962e+19
4.4 5.2643e+19
4.4 5.2643e+19
4.4002 1.33604e+10
4.40041 2.06424e+10
4.40065 2.98806e+10
4.40091 4.07257e+10
4.40121 5.25666e+10
4.40153 6.46329e+10
4.40189 7.61308e+10
4.40228 8.63764e+10
4.40272 9.48935e+10
4.40321 1.01455e+11
4.40375 1.06071e+11
4.40434 1.08929e+11
4.405 1.10321e+11
4.40573 1.10567e+11
4.40653 1.09966e+11
4.40742 1.08756e+11
4.40841 1.07112e+11
4.4095 1.05145e+11
4.41071 1.02918e+11
4.41205 1.00459e+11
4.41353 9.77777e+10
4.41517 9.48707e+10
4.41698 9.17308e+10
4.41899 8.83485e+10
4.42121 8.47147e+10
4.42367 8.08208e+10
4.42639 7.66594e+10
4.4294 7.22239e+10
4.43273 6.75087e+10
4.43641 6.25079e+10
4.44049 5.72141e+10
4.445 5.16164e+10
4.45 4.56957e+10
4.45499 4.00162e+10
4.45957 3.49621e+10
4.46378 3.04219e+10
4.46765 2.63103e+10
4.4712 2.25615e+10
4.47446 1.91244e+10
4.47745 1.59592e+10
4.4802 1.30347e+10
4.48273 1.03285e+10
4.48504 7.83155e+09
4.48717 5.56238e+09
4.48913 3.5917e+09
4.49093 2.04902e+09
4.49258 1.05266e+09
4.49409 5.7356e+08
4.49548 3.80521e+08
4.49676 2.88572e+08
4.49793 2.35394e+08
4.49901 1.10742e+08
4.5 4.16946e+12
4.5 4.16946e+12
4.50096 6.1573e+11
4.50216 1.42993e+11
4.50366 6.30965e+10
4.50552 4.48884e+10
4.50785 3.95544e+10
4.51076 3.69982e+10
4.51438 3.47144e+10
4.51891 3.21555e+10
4.52455 2.92334e+10
4.53158 2.59561e+10
4.54036 2.23757e+10
4.55131 1.85913e+10
4.56497 1.47529e+10
4.58202 1.10553e+10
4.60328 7.71489e+09
4.6298 4.92908e+09
4.66289 2.82485e+09
4.70417 1.4178e+09
4.75566 6.06591e+08
4.8199 2.14808e+08
4.90003 5.99444e+07
5 4.40027e-40
