Electron Conc vs Depth
146 2 2
Depth
Electron Conc
0 1e+18
1.00039 1e+18
1.7717 1e+18
2.36638 1e+18
2.82487 1e+18
3.17838 1e+18
3.45093 1e+18
3.66106 1e+18
3.82308 1e+18
3.94799 1e+18
4.0443 1e+18
4.11855 1e+18
4.1758 1e+18
4.21994 1.00001e+18
4.25398 1.00001e+18
4.28022 1.00002e+18
4.30045 1.00003e+18
4.31604 1.00004e+18
4.32807 1.00005e+18
4.33734 1.00006e+18
4.34449 1.00007e+18
4.35 1.00009e+18
4.35499 1.00011e+18
4.35948 1.00018e+18
4.3635 1.00034e+18
4.36711 1.0007e+18
4.37035 1.00145e+18
4.37326 1.00294e+18
4.37587 1.00565e+18
4.37821 1.01025e+18
4.38031 1.01761e+18
4.3822 1.02877e+18
4.38389 1.04492e+18
4.38541 1.06733e+18
4.38677 1.09735e+18
4.388 1.13637e+18
4.38909 1.18578e+18
4.39008 1.24698e+18
4.39096 1.32132e+18
4.39176 1.4101e+18
4.39247 1.51454e+18
4.39311 1.63568e+18
4.39368 1.77435e+18
4.3942 1.93106e+18
4.39466 2.10597e+18
4.39507 2.29878e+18
4.39545 2.50872e+18
4.39578 2.73455e+18
4.39608 2.97454e+18
4.39635 3.22656e+18
4.39659 3.48817e+18
4.39681 3.75672e+18
4.397 1.0366e+20
4.397 1.0366e+20
4.3972 9.0699e+19
4.3974 8.02549e+19
4.3976 7.18334e+19
4.3978 6.49915e+19
4.398 5.93259e+19
4.3982 5.44755e+19
4.3984 5.01192e+19
4.3986 4.59667e+19
4.3988 4.17471e+19
4.399 3.71987e+19
4.3992 3.20666e+19
4.3994 2.61183e+19
4.3996 1.92056e+19
4.3998 1.14667e+19
4.4 4.03353e+18
4.4 4.03353e+18
4.4002 8.08701e+06
4.40041 9.92038e+06
4.40065 1.18618e+07
4.40091 1.38316e+07
4.40121 1.57426e+07
4.40153 1.75102e+07
4.40189 1.90624e+07
4.40228 2.03486e+07
4.40272 2.13434e+07
4.40321 2.20463e+07
4.40375 2.24783e+07
4.40434 2.26742e+07
4.405 2.26757e+07
4.40573 2.25238e+07
4.40653 2.22547e+07
4.40742 2.18965e+07
4.40841 2.14689e+07
4.4095 2.09843e+07
4.41071 2.04493e+07
4.41205 1.98666e+07
4.41353 1.92367e+07
4.41517 1.85588e+07
4.41698 1.78321e+07
4.41899 1.70556e+07
4.42121 1.62288e+07
4.42367 1.53518e+07
4.42639 1.44252e+07
4.4294 1.34503e+07
4.43273 1.24292e+07
4.43641 1.13643e+07
4.44049 1.02587e+07
4.445 9.11564e+06
4.45 7.93802e+06
4.45499 6.84106e+06
4.45957 5.89365e+06
4.46378 5.06688e+06
4.46765 4.33877e+06
4.4712 3.69238e+06
4.47446 3.11455e+06
4.47745 2.59495e+06
4.4802 2.12543e+06
4.48273 1.69963e+06
4.48504 1.31314e+06
4.48717 964586
4.48913 658102
4.49093 405667
4.49258 223407
4.49409 117698
4.49548 70753.6
4.49676 50369.5
4.49793 39870.8
4.49901 50047.1
4.5 7.36299e+09
4.5 7.36299e+09
4.50096 5.66353e+08
4.50216 6.2811e+07
4.50366 1.54205e+07
4.50552 8.34557e+06
4.50785 6.73604e+06
4.51076 6.1345e+06
4.51438 5.67026e+06
4.51891 5.16967e+06
4.52455 4.60922e+06
4.53158 3.99433e+06
4.54036 3.34065e+06
4.55131 2.67276e+06
4.56497 2.02336e+06
4.58202 1.42973e+06
4.60328 927276
4.6298 540753
4.66289 276582
4.70417 120478
4.75566 43211.5
4.8199 12287.7
4.90003 2605.94
5 4.40027e-40
