Electron Conc vs Depth
146 2 2
Depth
Electron Conc
0 1e+18
1.00039 1e+18
1.7717 1e+18
2.36638 1e+18
2.82487 1e+18
3.17838 1e+18
3.45093 1e+18
3.66106 1e+18
3.82308 1e+18
3.94799 1.00003e+18
4.0443 1.00017e+18
4.11855 1.00069e+18
4.1758 1.00206e+18
4.21994 1.00485e+18
4.25398 1.00941e+18
4.28022 1.01572e+18
4.30045 1.02335e+18
4.31604 1.03165e+18
4.32807 1.03999e+18
4.33734 1.04787e+18
4.34449 1.05498e+18
4.35 1.06116e+18
4.35499 1.06736e+18
4.35948 1.07349e+18
4.3635 1.07955e+18
4.36711 1.08565e+18
4.37035 1.09205e+18
4.37326 1.09925e+18
4.37587 1.10809e+18
4.37821 1.11986e+18
4.38031 1.13638e+18
4.3822 1.16005e+18
4.38389 1.19396e+18
4.38541 1.24187e+18
4.38677 1.30838e+18
4.388 1.39909e+18
4.38909 1.52083e+18
4.39008 1.682e+18
4.39096 1.89292e+18
4.39176 2.16608e+18
4.39247 2.5163e+18
4.39311 2.96055e+18
4.39368 3.51725e+18
4.3942 4.20524e+18
4.39466 5.04217e+18
4.39507 6.04278e+18
4.39545 7.21734e+18
4.39578 8.57047e+18
4.39608 1.01006e+19
4.39635 1.18e+19
4.39659 1.36553e+19
4.39681 1.56484e+19
4.397 1.29303e+20
4.397 1.29303e+20
4.3972 1.18197e+20
4.3974 1.09695e+20
4.3976 1.03117e+20
4.3978 9.79141e+19
4.398 9.36445e+19
4.3982 8.99463e+19
4.3984 8.6507e+19
4.3986 8.30393e+19
4.3988 7.9258e+19
4.399 7.48594e+19
4.3992 6.9503e+19
4.3994 6.27981e+19
4.3996 5.43066e+19
4.3998 4.35894e+19
4.4 3.03822e+19
4.4 3.03822e+19
4.4002 3.3827e+09
4.40041 4.76188e+09
4.40065 6.38543e+09
4.40091 8.18232e+09
4.40121 1.00549e+10
4.40153 1.18935e+10
4.40189 1.35927e+10
4.40228 1.50675e+10
4.40272 1.62632e+10
4.40321 1.71587e+10
4.40375 1.77637e+10
4.40434 1.81101e+10
4.405 1.82418e+10
4.40573 1.82055e+10
4.40653 1.80435e+10
4.40742 1.77896e+10
4.40841 1.74679e+10
4.4095 1.70939e+10
4.41071 1.66763e+10
4.41205 1.6219e+10
4.41353 1.57231e+10
4.41517 1.51885e+10
4.41698 1.46143e+10
4.41899 1.39996e+10
4.42121 1.33438e+10
4.42367 1.26465e+10
4.42639 1.19078e+10
4.4294 1.11283e+10
4.43273 1.0309e+10
4.43641 9.45141e+09
4.44049 8.55709e+09
4.445 7.62773e+09
4.45 6.66455e+09
4.45499 5.76141e+09
4.45957 4.97613e+09
4.46378 4.2864e+09
4.46765 3.67517e+09
4.4712 3.1293e+09
4.47446 2.63857e+09
4.47745 2.19493e+09
4.4802 1.79206e+09
4.48273 1.42508e+09
4.48504 1.09087e+09
4.48717 7.8933e+08
4.48913 5.2596e+08
4.49093 3.13579e+08
4.49258 1.66955e+08
4.49409 8.82475e+07
4.49548 5.53597e+07
4.49676 4.06077e+07
4.49793 3.25006e+07
4.49901 2.08874e+07
4.5 2.10874e+12
4.5 2.10874e+12
4.50096 2.15936e+11
4.50216 3.34781e+10
4.50366 1.09177e+10
4.50552 6.76851e+09
4.50785 5.69883e+09
4.51076 5.24611e+09
4.51438 4.86921e+09
4.51891 4.45598e+09
4.52455 3.99088e+09
4.53158 3.47799e+09
4.54036 2.92928e+09
4.55131 2.36424e+09
4.56497 1.80944e+09
4.58202 1.2961e+09
4.60328 8.55003e+08
4.6298 5.09278e+08
4.66289 2.67455e+08
4.70417 1.20403e+08
4.75566 4.49939e+07
4.8199 1.34661e+07
4.90003 3.04426e+06
5 4.40027e-40
