Hole Conc vs Depth
146 2 2
Depth
Hole Conc
0 5.42713e-39
1.00039 119722
1.7717 5.35527e+06
2.36638 1.85077e+08
2.82487 4.91053e+09
3.17838 9.8847e+10
3.45093 1.48613e+12
3.66106 1.64333e+13
3.82308 1.32313e+14
3.94799 7.75625e+14
4.0443 3.35328e+15
4.11855 1.09746e+16
4.1758 2.81921e+16
4.21994 5.92055e+16
4.25398 1.05731e+17
4.28022 1.66173e+17
4.30045 2.36366e+17
4.31604 3.11052e+17
4.32807 3.85242e+17
4.33734 4.55045e+17
4.34449 5.17962e+17
4.35 5.72778e+17
4.35499 6.27782e+17
4.35948 6.81974e+17
4.3635 7.34918e+17
4.36711 7.86238e+17
4.37035 8.35617e+17
4.37326 8.82771e+17
4.37587 9.27409e+17
4.37821 9.69144e+17
4.38031 1.00735e+18
4.3822 1.04093e+18
4.38389 1.06812e+18
4.38541 1.08621e+18
4.38677 1.09149e+18
4.388 1.07953e+18
4.38909 1.04592e+18
4.39008 9.87432e+17
4.39096 9.03517e+17
4.39176 7.97381e+17
4.39247 6.76134e+17
4.39311 5.49628e+17
4.39368 4.2826e+17
4.3942 3.20598e+17
4.39466 2.31783e+17
4.39507 1.63188e+17
4.39545 1.13191e+17
4.39578 7.84629e+16
4.39608 5.52065e+16
4.39635 3.99822e+16
4.39659 3.00876e+16
4.39681 2.35992e+16
4.397 3.50436e+19
4.397 3.50436e+19
4.3972 5.21199e+19
4.3974 6.7196e+19
4.3976 7.9962e+19
4.3978 9.07359e+19
4.398 1.00068e+20
4.3982 1.08595e+20
4.3984 1.17006e+20
4.3986 1.26063e+20
4.3988 1.36673e+20
4.399 1.49991e+20
4.3992 1.67595e+20
4.3994 1.9176e+20
4.3996 2.25903e+20
4.3998 2.75329e+20
4.4 3.48516e+20
4.4 3.48516e+20
4.4002 5.18092e+19
4.40041 3.95627e+19
4.40065 3.08047e+19
4.40091 2.45847e+19
4.40121 2.0178e+19
4.40153 1.7055e+19
4.40189 1.48406e+19
4.40228 1.32729e+19
4.40272 1.21695e+19
4.40321 1.14016e+19
4.40375 1.08772e+19
4.40434 1.05284e+19
4.405 1.03042e+19
4.40573 1.01663e+19
4.40653 1.00857e+19
4.40742 1.00413e+19
4.40841 1.00185e+19
4.4095 1.00077e+19
4.41071 1.00029e+19
4.41205 1.0001e+19
4.41353 1.00003e+19
4.41517 1.00001e+19
4.41698 1e+19
4.41899 1e+19
4.42121 1e+19
4.42367 1e+19
4.42639 1e+19
4.4294 1e+19
4.43273 1e+19
4.43641 1e+19
4.44049 1e+19
4.445 1e+19
4.45 1e+19
4.45499 1e+19
4.45957 1e+19
4.46378 1e+19
4.46765 1e+19
4.4712 1e+19
4.47446 9.99999e+18
4.47745 9.99991e+18
4.4802 9.99934e+18
4.48273 9.99591e+18
4.48504 9.9775e+18
4.48717 9.89008e+18
4.48913 9.52612e+18
4.49093 8.25685e+18
4.49258 5.09549e+18
4.49409 1.35114e+18
4.49548 1.32636e+17
4.49676 3.0982e+16
4.49793 2.17838e+16
4.49901 1.77375e+16
4.5 9.65433e+16
4.5 9.65433e+16
4.50096 8.7845e+17
4.50216 3.60593e+18
4.50366 7.18486e+18
4.50552 9.19838e+18
4.50785 9.8416e+18
4.51076 9.97788e+18
4.51438 9.99785e+18
4.51891 9.99986e+18
4.52455 9.99999e+18
4.53158 1e+19
4.54036 1e+19
4.55131 1e+19
4.56497 1e+19
4.58202 1e+19
4.60328 1e+19
4.6298 1e+19
4.66289 1e+19
4.70417 1e+19
4.75566 1e+19
4.8199 1e+19
4.90003 1e+19
5 1e+19
