drain current vs gate bias
51 2 2
gate bias
drain current
20 3.11884e-07
19.5 3.02347e-07
19 2.92814e-07
18.5 2.83287e-07
18 2.73764e-07
17.5 2.64246e-07
17 2.54733e-07
16.5 2.45224e-07
16 2.3572e-07
15.5 2.26221e-07
15 2.16726e-07
14.5 2.07235e-07
14 1.97749e-07
13.5 1.88267e-07
13 1.78789e-07
12.5 1.69316e-07
12 1.59846e-07
11.5 1.5038e-07
11 1.40917e-07
10.5 1.31459e-07
10 1.22004e-07
9.5 1.12553e-07
9 1.03106e-07
8.5 9.36627e-08
8 8.42241e-08
7.5 7.47909e-08
7 6.53641e-08
6.5 5.59457e-08
6 4.65392e-08
5.5 3.71503e-08
5 2.77907e-08
4.5 1.84875e-08
4 9.33214e-09
3.5 1.17454e-09
3 4.16023e-15
2.5 -1.73207e-21
2 -3.15066e-19
1.5 -1.24923e-17
1 -4.63063e-21
0.5 -2.58437e-23
0 -5.62199e-19
-0.5 -1.03488e-23
-1 -2.31164e-23
-1.5 -3.26641e-20
-2 -2.23175e-23
-2.5 -1.74884e-21
-3 -1.52029e-16
-3.5 -8.37972e-17
-4 -1.24159e-17
-4.5 -3.3965e-18
-5 -1.25551e-18
