drain current vs gate bias
51 2 2
gate bias
drain current
20 2.64402e-07
19.5 2.54886e-07
19 2.45374e-07
18.5 2.35867e-07
18 2.26365e-07
17.5 2.16868e-07
17 2.07374e-07
16.5 1.97886e-07
16 1.88401e-07
15.5 1.78921e-07
15 1.69445e-07
14.5 1.59973e-07
14 1.50505e-07
13.5 1.41041e-07
13 1.31581e-07
12.5 1.22125e-07
12 1.12672e-07
11.5 1.03223e-07
11 9.37786e-08
10.5 8.43386e-08
10 7.49037e-08
9.5 6.54751e-08
9 5.60549e-08
8.5 4.66461e-08
8 3.72546e-08
7.5 2.78918e-08
7 1.85846e-08
6.5 9.42286e-09
6 1.22972e-09
5.5 4.81347e-15
5 -4.22594e-22
4.5 -9.75139e-19
4 -3.71509e-20
3.5 -3.76488e-21
3 -3.29404e-17
2.5 -2.42648e-18
2 -7.94928e-25
1.5 -4.31728e-24
1 -1.21142e-20
0.5 -1.51687e-23
0 -3.05822e-21
-0.5 -1.75514e-22
-1 -3.5947e-17
-1.5 -9.0727e-18
-2 -3.27892e-18
-2.5 -1.52972e-18
-3 -7.73026e-19
-3.5 -5.3966e-19
-4 -5.0419e-19
-4.5 -4.621e-19
-5 -3.08178e-19
