drain current vs gate bias
51 2 2
gate bias
drain current
20 2.50671e-07
19.5 2.41157e-07
19 2.31647e-07
18.5 2.22141e-07
18 2.12641e-07
17.5 2.03145e-07
17 1.93653e-07
16.5 1.84166e-07
16 1.74683e-07
15.5 1.65205e-07
15 1.5573e-07
14.5 1.4626e-07
14 1.36794e-07
13.5 1.27331e-07
13 1.17873e-07
12.5 1.08418e-07
12 9.89671e-08
11.5 8.95205e-08
11 8.00785e-08
10.5 7.06419e-08
10 6.1212e-08
9.5 5.1791e-08
9 4.2383e-08
8.5 3.29956e-08
8 2.36453e-08
7.5 1.43761e-08
7 5.38749e-09
6.5 1.6045e-11
6 9.59836e-19
5.5 -9.11987e-21
5 -1.66619e-18
4.5 -2.36669e-21
4 -1.36469e-18
3.5 -3.51883e-22
3 -5.64721e-17
2.5 -9.56189e-18
2 -1.38219e-16
1.5 -1.22128e-25
1 -5.75605e-22
0.5 -1.65431e-20
0 -1.00209e-23
-0.5 -8.5136e-18
-1 -2.76548e-18
-1.5 -2.15187e-18
-2 -1.62019e-18
-2.5 -1.10071e-18
-3 -7.59932e-19
-3.5 -5.47004e-19
-4 -3.41033e-19
-4.5 -1.52268e-19
-5 -4.43209e-20
