drain current vs gate bias
51 2 2
gate bias
drain current
20 2.5875e-07
19.5 2.49235e-07
19 2.39724e-07
18.5 2.30218e-07
18 2.20717e-07
17.5 2.1122e-07
17 2.01728e-07
16.5 1.9224e-07
16 1.82757e-07
15.5 1.73278e-07
15 1.63803e-07
14.5 1.54332e-07
14 1.44865e-07
13.5 1.35402e-07
13 1.25942e-07
12.5 1.16487e-07
12 1.07035e-07
11.5 9.75879e-08
11 8.81447e-08
10.5 7.87063e-08
10 6.92737e-08
9.5 5.98483e-08
9 5.04326e-08
8.5 4.10312e-08
8 3.16526e-08
7.5 2.23153e-08
7 1.30713e-08
6.5 4.19001e-09
6 2.19312e-12
5.5 3.02493e-19
5 -1.67087e-18
4.5 -9.30267e-21
4 -5.95065e-20
3.5 -5.61802e-18
3 -2.81485e-24
2.5 -1.85067e-16
2 -6.51923e-22
1.5 -6.71464e-19
1 -2.83489e-25
0.5 -1.08623e-21
0 -4.3659e-21
-0.5 -2.90517e-18
-1 -1.3286e-17
-1.5 -3.89018e-18
-2 -2.13917e-18
-2.5 -1.184e-18
-3 -7.23787e-19
-3.5 -5.72893e-19
-4 -5.02442e-19
-4.5 -3.63136e-19
-5 -1.69819e-19
