luminescent power vs anode current
41 2 2
anode current
luminescent power
-5.20542e-15 -1.01921e-23
6.8426e-16 -2.76389e-24
8.55622e-14 4.8695e-23
2.44953e-13 4.04101e-22
7.29537e-13 2.85925e-21
2.02742e-12 1.98187e-20
5.58643e-12 1.36964e-19
1.54006e-11 9.46094e-19
4.25784e-11 6.53448e-18
1.17995e-10 4.51293e-17
3.27964e-10 3.11659e-16
9.15025e-10 2.15213e-15
2.56399e-09 1.48603e-14
7.22138e-09 1.026e-13
2.04622e-08 7.08316e-13
5.84048e-08 4.88945e-12
1.68199e-07 3.37474e-11
4.89821e-07 2.32893e-10
1.44669e-06 1.60693e-09
4.34969e-06 1.10845e-08
1.33655e-05 7.64491e-08
4.20255e-05 5.27029e-07
0.00013402 3.62648e-06
0.000421122 2.49093e-05
0.00126767 0.000170182
0.00381408 0.00113762
0.0124461 0.00716244
0.0441223 0.0394044
0.151154 0.170739
0.433216 0.544434
0.987568 1.29938
1.85075 2.48134
3.0037 4.05053
4.40467 5.93231
6.01203 8.05004
7.79534 10.3376
9.74193 12.7415
11.8633 15.2196
14.2016 17.7398
16.8327 20.2791
19.8624 22.8222
