(anode current)/(source photo current) vs optical wavelength
26 2 2
optical wavelength
(anode current)/(source photo current)
0.5 0.0725903
0.52 0.128564
0.54 0.201755
0.56 0.28757
0.58 0.38312
0.6 0.472479
0.62 0.539672
0.64 0.618154
0.66 0.654976
0.68 0.672322
0.7 0.635898
0.72 0.6064
0.74 0.55907
0.76 0.547715
0.78 0.489199
0.8 0.453737
0.82 0.417668
0.84 0.380343
0.86 0.343402
0.88 0.306587
0.9 0.269406
0.92 0.233044
0.94 0.207066
0.96 0.181353
0.98 0.155985
1 0.130896
