(anode current)/(source photo current) vs optical wavelength
23 2 2
optical wavelength
(anode current)/(source photo current)
0.36 0.660644
0.38 0.719157
0.4 0.76849
0.42 0.808879
0.44 0.837884
0.46 0.850537
0.48 0.843137
0.5 0.814164
0.52 0.763022
0.54 0.692921
0.56 0.608712
0.58 0.517978
0.6 0.417078
0.62 0.316709
0.64 0.225361
0.66 0.140908
0.68 0.0728934
0.7 0.0280839
0.72 0.010869
0.74 0.00436344
0.76 0.00183522
0.78 0.000805755
0.8 0.000367733
