Electron Conc vs Depth
363 2 2
Depth
Electron Conc
0 2.93592e-39
0.0499133 6.48526e+15
0.0751221 8.687e+15
0.0878538 9.61176e+15
0.0942839 9.64827e+15
0.0975315 7.74278e+15
0.0991716 4.83649e+15
0.1 1.44868e+14
0.1 1.44868e+14
0.10089 3.43643e+14
0.102066 6.0073e+14
0.103617 9.31975e+14
0.105665 1.35546e+15
0.108369 1.89055e+15
0.111937 2.55641e+15
0.116648 3.36957e+15
0.122865 4.33968e+15
0.131072 5.46414e+15
0.141906 6.72332e+15
0.156206 8.08044e+15
0.175083 9.49231e+15
0.2 1.09368e+16
0.224917 1.21247e+16
0.243794 1.29472e+16
0.258094 1.35517e+16
0.268928 1.40069e+16
0.277135 1.43529e+16
0.283352 1.46157e+16
0.288063 1.48038e+16
0.291631 1.48605e+16
0.294335 1.4529e+16
0.296383 1.32714e+16
0.297934 1.06828e+16
0.29911 7.23676e+15
0.3 1.96111e+14
0.3 1.96111e+14
0.30108 5.23077e+14
0.302402 9.17477e+14
0.304023 1.39453e+15
0.306008 1.96811e+15
0.308439 2.65142e+15
0.311418 3.45768e+15
0.315066 4.40014e+15
0.319536 5.49094e+15
0.325011 6.73957e+15
0.331718 8.15152e+15
0.339935 9.72749e+15
0.35 1.14644e+16
0.360005 1.30201e+16
0.36809 1.41778e+16
0.374624 1.50604e+16
0.379903 1.57445e+16
0.384169 1.62815e+16
0.387617 1.67099e+16
0.390403 1.70717e+16
0.392654 1.7443e+16
0.394473 1.79811e+16
0.395943 1.89721e+16
0.397131 2.08652e+16
0.398091 2.43299e+16
0.398867 3.04014e+16
0.399493 4.07931e+16
0.4 1.25255e+19
0.4 1.25255e+19
0.4005 1.1726e+19
0.401 1.11509e+19
0.4015 1.06639e+19
0.402 1.01525e+19
0.4025 9.50306e+18
0.403 8.57918e+18
0.403 8.57918e+18
0.4035 2.81003e+16
0.404 3.46697e+16
0.4045 4.14363e+16
0.405 4.8246e+16
0.4055 5.49561e+16
0.406 6.14382e+16
0.4065 6.75806e+16
0.407 7.32886e+16
0.4075 7.84855e+16
0.408 8.31115e+16
0.4085 8.71232e+16
0.409 9.04917e+16
0.4095 9.32014e+16
0.41 1.47461e+19
0.41 1.47461e+19
0.4105 1.28973e+19
0.411 1.16782e+19
0.4115 1.07962e+19
0.412 1.00453e+19
0.4125 9.25737e+18
0.413 8.26755e+18
0.413 8.26755e+18
0.4135 2.56863e+16
0.414 3.16408e+16
0.4145 3.78116e+16
0.415 4.40708e+16
0.4155 5.02974e+16
0.416 5.638e+16
0.4165 6.22186e+16
0.417 6.7726e+16
0.4175 7.28279e+16
0.418 7.7463e+16
0.4185 8.15828e+16
0.419 8.51507e+16
0.4195 8.81409e+16
0.42 1.45126e+19
0.42 1.45126e+19
0.4205 1.26825e+19
0.421 1.14727e+19
0.4215 1.05954e+19
0.422 9.84791e+18
0.4225 9.06487e+18
0.423 8.08459e+18
0.423 8.08459e+18
0.4235 2.45449e+16
0.424 3.04104e+16
0.4245 3.65466e+16
0.425 4.28346e+16
0.4255 4.91594e+16
0.426 5.5413e+16
0.4265 6.14957e+16
0.427 6.73178e+16
0.4275 7.27998e+16
0.428 7.78735e+16
0.4285 8.24812e+16
0.429 8.65758e+16
0.4295 9.01199e+16
0.43 1.46459e+19
0.43 1.46459e+19
0.4305 1.28394e+19
0.431 1.1667e+19
0.4315 1.08475e+19
0.432 1.01895e+19
0.4325 9.54424e+18
0.433 8.77269e+18
0.433 8.77269e+18
0.433503 3.30365e+16
0.434011 4.48051e+16
0.434524 5.82104e+16
0.435042 7.30084e+16
0.435566 8.89121e+16
0.436095 1.05612e+17
0.436629 1.22793e+17
0.437169 1.40156e+17
0.437714 1.5742e+17
0.438265 1.74342e+17
0.438821 1.90712e+17
0.439384 2.06363e+17
0.439952 2.21166e+17
0.440525 2.35029e+17
0.441105 2.47895e+17
0.44169 2.59735e+17
0.442282 2.70547e+17
0.442879 2.80348e+17
0.443483 2.89171e+17
0.444093 2.97061e+17
0.444708 3.04072e+17
0.445331 3.10261e+17
0.445959 3.15692e+17
0.446594 3.20425e+17
0.447236 3.24524e+17
0.447884 3.28046e+17
0.448538 3.31051e+17
0.4492 3.33591e+17
0.449868 3.35715e+17
0.450543 3.37471e+17
0.451225 3.389e+17
0.451913 3.40041e+17
0.452609 3.40927e+17
0.453312 3.41592e+17
0.454022 3.42061e+17
0.454739 3.4236e+17
0.455464 3.42511e+17
0.456196 3.42533e+17
0.456935 3.42443e+17
