Hole Conc vs Depth
363 2 2
Depth
Hole Conc
0.529 1.62181e+14
0.53 1.23965e+14
0.531 8.11541e+13
0.532 2.61176e+13
0.533 7.65289e+13
0.533 7.65289e+13
0.534028 1.6993e+14
0.535129 3.28186e+14
0.536307 5.54768e+14
0.537569 8.40511e+14
0.53892 1.16564e+15
0.540367 1.50379e+15
0.541916 1.82749e+15
0.543574 2.11348e+15
0.54535 2.34634e+15
0.547251 2.51949e+15
0.549287 2.63406e+15
0.551466 2.69643e+15
0.5538 2.71559e+15
0.556299 2.70101e+15
0.558975 2.66127e+15
0.561839 2.60339e+15
0.564907 2.53269e+15
0.568191 2.45298e+15
0.571707 2.36686e+15
0.575472 2.27602e+15
0.579504 2.18158e+15
0.58382 2.08427e+15
0.588442 1.98465e+15
0.593391 1.88314e+15
0.598689 1.78014e+15
0.604362 1.67607e+15
0.610436 1.57137e+15
0.61694 1.46649e+15
0.623904 1.36194e+15
0.63136 1.25823e+15
0.639344 1.15592e+15
0.647892 1.05558e+15
0.657044 9.57768e+14
0.666844 8.63062e+14
0.677336 7.72011e+14
0.688571 6.85139e+14
0.7006 6.02929e+14
0.71348 5.25808e+14
0.72727 4.54135e+14
0.742036 3.88188e+14
0.757846 3.28157e+14
0.774773 2.74136e+14
0.792898 2.26117e+14
0.812305 1.8399e+14
0.833084 1.47548e+14
0.855332 1.16496e+14
0.879153 9.04595e+13
0.904659 6.90012e+13
0.931969 5.16392e+13
0.961209 3.78659e+13
0.992518 2.71675e+13
1.02604 1.90428e+13
1.06193 1.30195e+13
1.10036 8.66769e+12
1.14151 5.60879e+12
1.18557 3.52092e+12
1.23275 2.13984e+12
1.28326 1.25633e+12
1.33734 7.10945e+11
1.39524 3.8684e+11
1.45724 2.01878e+11
1.52363 1.00775e+11
1.59471 4.79857e+10
1.67082 2.17322e+10
1.7523 9.33302e+09
1.83955 3.78921e+09
1.93297 1.4509e+09
2.033 5.25838e+08
2.13297 1.91781e+08
2.22691 7.39787e+07
2.31517 3.01018e+07
2.3981 1.28863e+07
2.47601 5.78904e+06
2.54923 2.72246e+06
2.61802 1.33709e+06
2.68265 684242
2.74339 364042
2.80045 200942
2.85407 114840
2.90444 67823.4
2.95178 41317.3
2.99625 25917.4
3.03804 16712.1
3.07731 11060.3
3.1142 7501.3
3.14887 5206.1
3.18144 3692.21
3.21204 2672.19
3.2408 1970.91
3.26782 1479.42
3.2932 1128.57
3.31705 873.627
3.33947 685.132
3.36053 543.354
3.38031 434.861
3.3989 350.373
3.41637 283.384
3.43278 229.275
3.44821 184.725
3.4627 147.321
3.47631 115.294
3.4891 87.3342
3.50112 62.467
3.51242 39.9638
3.52303 19.2782
3.533 2.2438e-38
