Electron Conc vs Depth
363 2 2
Depth
Electron Conc
0.529 8.13138e+16
0.53 6.1901e+16
0.531 4.49181e+16
0.532 3.10249e+16
0.533 8.37894e+18
0.533 8.37894e+18
0.534028 4.63082e+18
0.535129 2.70886e+18
0.536307 1.70366e+18
0.537569 1.15755e+18
0.53892 8.46594e+17
0.540367 6.61272e+17
0.541916 5.4653e+17
0.543574 4.73431e+17
0.54535 4.25971e+17
0.547251 3.94831e+17
0.549287 3.74307e+17
0.551466 3.60759e+17
0.5538 3.51784e+17
0.556299 3.45766e+17
0.558975 3.41614e+17
0.561839 3.38597e+17
0.564907 3.36237e+17
0.568191 3.34233e+17
0.571707 3.32399e+17
0.575472 3.30628e+17
0.579504 3.28861e+17
0.58382 3.2707e+17
0.588442 3.2524e+17
0.593391 3.23367e+17
0.598689 3.21452e+17
0.604362 3.19498e+17
0.610436 3.17508e+17
0.61694 3.15489e+17
0.623904 3.13446e+17
0.63136 3.11386e+17
0.639344 3.09315e+17
0.647892 3.07242e+17
0.657044 3.05174e+17
0.666844 3.0312e+17
0.677336 3.01088e+17
0.688571 2.99087e+17
0.7006 2.97126e+17
0.71348 2.95213e+17
0.72727 2.93357e+17
0.742036 2.91566e+17
0.757846 2.89848e+17
0.774773 2.8821e+17
0.792898 2.86658e+17
0.812305 2.85199e+17
0.833084 2.83836e+17
0.855332 2.82574e+17
0.879153 2.81414e+17
0.904659 2.80358e+17
0.931969 2.79406e+17
0.961209 2.78556e+17
0.992518 2.77807e+17
1.02604 2.77154e+17
1.06193 2.76591e+17
1.10036 2.76114e+17
1.14151 2.75715e+17
1.18557 2.75387e+17
1.23275 2.75122e+17
1.28326 2.74912e+17
1.33734 2.74748e+17
1.39524 2.74624e+17
1.45724 2.74531e+17
1.52363 2.74464e+17
1.59471 2.74416e+17
1.67082 2.74383e+17
1.7523 2.74361e+17
1.83955 2.74347e+17
1.93297 2.74338e+17
2.033 2.74333e+17
2.13297 2.7433e+17
2.22691 2.74328e+17
2.31517 2.74327e+17
2.3981 2.74327e+17
2.47601 2.74326e+17
2.54923 2.74326e+17
2.61802 2.74326e+17
2.68265 2.74326e+17
2.74339 2.74326e+17
2.80045 2.74326e+17
2.85407 2.74326e+17
2.90444 2.74326e+17
2.95178 2.74326e+17
2.99625 2.74326e+17
3.03804 2.74326e+17
3.07731 2.74326e+17
3.1142 2.74326e+17
3.14887 2.74326e+17
3.18144 2.74326e+17
3.21204 2.74326e+17
3.2408 2.74326e+17
3.26782 2.74326e+17
3.2932 2.74326e+17
3.31705 2.74326e+17
3.33947 2.74326e+17
3.36053 2.74326e+17
3.38031 2.74326e+17
3.3989 2.74326e+17
3.41637 2.74326e+17
3.43278 2.74326e+17
3.44821 2.74326e+17
3.4627 2.74326e+17
3.47631 2.74326e+17
3.4891 2.74326e+17
3.50112 2.74326e+17
3.51242 2.74326e+17
3.52303 2.74326e+17
3.533 2.74326e+17
