Hole Conc vs Depth
363 2 2
Depth
Hole Conc
0 2.0326e+18
0.0499133 2.03574e+18
0.0751221 2.03686e+18
0.0878538 2.04158e+18
0.0942839 2.13016e+18
0.0975315 2.69856e+18
0.0991716 4.23832e+18
0.1 2.49847e+18
0.1 2.49847e+18
0.10089 2.51271e+18
0.102066 2.52282e+18
0.103617 2.52876e+18
0.105665 2.53157e+18
0.108369 2.53268e+18
0.111937 2.5332e+18
0.116648 2.53363e+18
0.122865 2.5341e+18
0.131072 2.53465e+18
0.141906 2.53526e+18
0.156206 2.53593e+18
0.175083 2.53661e+18
0.2 2.53732e+18
0.224917 2.5379e+18
0.243794 2.5383e+18
0.258094 2.53859e+18
0.268928 2.53881e+18
0.277135 2.53899e+18
0.283352 2.53932e+18
0.288063 2.54177e+18
0.291631 2.55882e+18
0.294335 2.63885e+18
0.296383 2.9069e+18
0.297934 3.61825e+18
0.29911 5.28289e+18
0.3 2.88731e+18
0.3 2.88731e+18
0.30108 2.9507e+18
0.302402 2.98635e+18
0.304023 3.00322e+18
0.306008 3.00986e+18
0.308439 3.01211e+18
0.311418 3.01294e+18
0.315066 3.01348e+18
0.319536 3.01403e+18
0.325011 3.01464e+18
0.331718 3.01533e+18
0.339935 3.0161e+18
0.35 3.01696e+18
0.360005 3.01772e+18
0.36809 3.01829e+18
0.374624 3.01872e+18
0.379903 3.01905e+18
0.384169 3.0192e+18
0.387617 3.01861e+18
0.390403 3.01435e+18
0.392654 2.99672e+18
0.394473 2.94291e+18
0.395943 2.81601e+18
0.397131 2.57897e+18
0.398091 2.22182e+18
0.398867 1.77987e+18
0.399493 1.32101e+18
0.4 8.01734e+18
0.4 8.01734e+18
0.4005 9.22585e+18
0.401 1.02004e+19
0.4015 1.1102e+19
0.402 1.21317e+19
0.4025 1.35745e+19
0.403 1.59177e+19
0.403 1.59177e+19
0.4035 1.9032e+18
0.404 1.55137e+18
0.4045 1.29843e+18
0.405 1.11065e+18
0.4055 9.67499e+17
0.406 8.55928e+17
0.4065 7.67328e+17
0.407 6.95852e+17
0.4075 6.37414e+17
0.408 5.89102e+17
0.4085 5.48791e+17
0.409 5.14912e+17
0.4095 4.86286e+17
0.41 4.62383e+18
0.41 4.62383e+18
0.4105 6.48237e+18
0.411 8.09307e+18
0.4115 9.49548e+18
0.412 1.08735e+19
0.4125 1.25287e+19
0.413 1.49611e+19
0.413 1.49611e+19
0.4135 1.74825e+18
0.414 1.43591e+18
0.4145 1.20917e+18
0.415 1.03961e+18
0.4155 9.09689e+17
0.416 8.08084e+17
0.4165 7.27268e+17
0.417 6.62077e+17
0.4175 6.08881e+17
0.418 5.65071e+17
0.4185 5.28741e+17
0.419 4.98477e+17
0.4195 4.73218e+17
0.42 4.5165e+18
0.42 4.5165e+18
0.4205 6.33527e+18
0.421 7.91931e+18
0.4215 9.305e+18
0.422 1.06707e+19
0.4225 1.23118e+19
0.423 1.47197e+19
0.423 1.47197e+19
0.4235 1.70616e+18
0.424 1.40259e+18
0.4245 1.18215e+18
0.425 1.01741e+18
0.4255 8.91344e+17
0.426 7.92994e+17
0.4265 7.15033e+17
0.427 6.52436e+17
0.4275 6.01665e+17
0.428 5.6018e+17
0.4285 5.26125e+17
0.429 4.98126e+17
0.4295 4.75155e+17
0.43 4.5294e+18
0.43 4.5294e+18
0.4305 6.31859e+18
0.431 7.83796e+18
0.4315 9.10677e+18
0.432 1.02688e+19
0.4325 1.15482e+19
0.433 1.32833e+19
0.433 1.32833e+19
0.433503 1.32077e+18
0.434011 9.91619e+17
0.434524 7.72292e+17
0.435042 6.20345e+17
0.435566 5.11563e+17
0.436095 4.31474e+17
0.436629 3.7108e+17
0.437169 3.24584e+17
0.437714 2.88139e+17
0.438265 2.5912e+17
0.438821 2.35691e+17
0.439384 2.16541e+17
0.439952 2.00715e+17
0.440525 1.87505e+17
0.441105 1.76379e+17
0.44169 1.66927e+17
0.442282 1.58836e+17
0.442879 1.51857e+17
0.443483 1.45794e+17
0.444093 1.40491e+17
0.444708 1.35821e+17
0.445331 1.31681e+17
0.445959 1.27985e+17
0.446594 1.24665e+17
0.447236 1.21661e+17
0.447884 1.18926e+17
0.448538 1.16418e+17
0.4492 1.14103e+17
0.449868 1.11952e+17
0.450543 1.0994e+17
0.451225 1.08046e+17
0.451913 1.06253e+17
0.452609 1.04546e+17
0.453312 1.0291e+17
0.454022 1.01335e+17
0.454739 9.98115e+16
0.455464 9.83312e+16
0.456196 9.68871e+16
0.456935 9.54732e+16
0.457682 9.40843e+16
0.458437 9.27161e+16
0.459199 9.13647e+16
0.459969 9.0027e+16
0.460747 8.87001e+16
0.461533 8.73818e+16
0.462327 8.607e+16
0.463129 8.4763e+16
0.463939 8.34594e+16
0.464758 8.21578e+16
0.465585 8.08572e+16
0.46642 7.95567e+16
0.467264 7.82555e+16
0.468116 7.69529e+16
0.468977 7.56483e+16
0.469847 7.43412e+16
0.470726 7.30311e+16
0.471614 7.17176e+16
0.47251 7.04004e+16
0.473416 6.90791e+16
0.474331 6.77534e+16
0.475256 6.6423e+16
0.47619 6.50878e+16
0.477133 6.37473e+16
0.478087 6.24014e+16
0.479049 6.10498e+16
0.480022 5.96922e+16
0.481005 5.83285e+16
0.481997 5.69583e+16
0.483 5.55815e+16
0.484 5.42153e+16
0.485 5.28558e+16
0.486 5.15027e+16
0.487 5.01555e+16
0.488 4.88142e+16
0.489 4.74783e+16
0.49 4.61476e+16
0.491 4.4822e+16
0.492 4.35011e+16
0.493 4.21849e+16
0.494 4.08731e+16
0.495 3.95657e+16
0.496 3.82625e+16
0.497 3.69635e+16
0.498 3.56687e+16
0.499 3.43783e+16
0.5 3.30924e+16
0.501 3.18111e+16
0.502 3.05348e+16
0.503 2.9264e+16
0.504 2.79993e+16
0.505 2.67411e+16
0.506 2.54905e+16
0.507 2.42484e+16
0.508 2.30159e+16
0.509 2.17944e+16
0.51 2.05855e+16
0.511 1.93909e+16
0.512 1.82126e+16
0.513 1.70526e+16
0.514 1.59135e+16
0.515 1.47977e+16
0.516 1.37079e+16
0.517 1.26468e+16
0.518 1.16174e+16
0.519 1.06224e+16
0.52 9.66434e+15
0.521 8.74571e+15
0.522 7.86845e+15
0.523 7.03396e+15
0.524 6.24277e+15
0.525 5.49425e+15
0.526 4.78609e+15
0.527 4.1134e+15
0.528 3.46708e+15
0.529 2.83045e+15
0.53 2.1719e+15
0.531 1.42754e+15
0.532 4.57707e+14
0.533 1.29236e+15
0.533 1.29236e+15
0.534028 2.82423e+15
0.535129 5.39186e+15
0.536307 9.0267e+15
0.537569 1.35509e+16
0.53892 1.86205e+16
0.540367 2.38017e+16
0.541916 2.86665e+16
0.543574 3.28761e+16
0.54535 3.62296e+16
